Date	Day	result
2012/12/31	Monday	[5, 20, 38, 44, 46, 48, 13]
2012/12/30	Sunday	[13, 14, 15, 25, 26, 34, 6]
2012/12/29	Saturday	[22, 29, 30, 38, 39, 46, 19]
2012/12/28	Friday	[4, 12, 17, 18, 21, 39, 8]
2012/12/27	Thursday	[8, 19, 21, 22, 23, 35, 30]
2012/12/26	Wednesday	[2, 17, 20, 35, 39, 44, 33]
2012/12/24	Monday	[7, 14, 15, 17, 42, 48, 25]
2012/12/23	Sunday	[3, 7, 16, 30, 36, 48, 27]
2012/12/22	Saturday	[5, 13, 17, 33, 41, 48, 34]
2012/12/21	Friday	[3, 10, 14, 20, 33, 37, 31]
2012/12/20	Thursday	[24, 28, 32, 34, 39, 44, 25]
2012/12/19	Wednesday	[17, 24, 25, 32, 40, 46, 22]
2012/12/18	Tuesday	[5, 12, 16, 19, 22, 32, 46]
2012/12/17	Monday	[9, 16, 19, 34, 37, 43, 33]
2012/12/16	Sunday	[2, 5, 24, 29, 30, 35, 14]
2012/12/15	Saturday	[6, 7, 11, 15, 24, 37, 22]
2012/12/14	Friday	[3, 6, 9, 21, 38, 42, 2]
2012/12/13	Thursday	[5, 17, 36, 37, 41, 42, 38]
2012/12/12	Wednesday	[7, 25, 31, 41, 42, 45, 20]
2012/12/11	Tuesday	[5, 6, 13, 15, 38, 46, 37]
2012/12/10	Monday	[1, 6, 13, 26, 32, 36, 10]
2012/12/9	Sunday	[1, 3, 15, 24, 41, 45, 20]
2012/12/8	Saturday	[6, 15, 23, 42, 46, 47, 7]
2012/12/7	Friday	[1, 3, 7, 13, 18, 38, 6]
2012/12/6	Thursday	[3, 4, 7, 8, 9, 19, 18]
2012/12/5	Wednesday	[4, 9, 22, 35, 37, 43, 21]
2012/12/4	Tuesday	[20, 28, 29, 38, 42, 46, 27]
2012/12/3	Monday	[4, 20, 32, 35, 38, 49, 46]
2012/12/2	Sunday	[6, 8, 22, 29, 42, 45, 14]
2012/12/1	Saturday	[11, 15, 16, 22, 44, 46, 13]
2012/11/30	Friday	[3, 11, 16, 18, 24, 43, 17]
2012/11/29	Thursday	[10, 12, 15, 22, 26, 34, 36]
2012/11/28	Wednesday	[4, 8, 11, 22, 33, 48, 20]
2012/11/27	Tuesday	[2, 5, 25, 32, 39, 40, 10]
2012/11/26	Monday	[5, 9, 14, 17, 22, 46, 1]
2012/11/25	Sunday	[5, 6, 8, 17, 22, 39, 12]
2012/11/24	Saturday	[8, 9, 12, 29, 31, 42, 26]
2012/11/23	Friday	[3, 12, 20, 28, 42, 44, 16]
2012/11/22	Thursday	[4, 9, 30, 31, 34, 38, 33]
2012/11/21	Wednesday	[1, 9, 17, 23, 27, 34, 16]
2012/11/20	Tuesday	[1, 2, 12, 30, 40, 49, 31]
2012/11/19	Monday	[6, 8, 11, 17, 28, 35, 48]
2012/11/18	Sunday	[3, 6, 14, 38, 39, 44, 31]
2012/11/17	Saturday	[4, 5, 35, 42, 43, 49, 47]
2012/11/16	Friday	[23, 25, 29, 34, 42, 48, 32]
2012/11/15	Thursday	[2, 6, 8, 27, 46, 47, 9]
2012/11/14	Wednesday	[3, 14, 20, 21, 36, 47, 48]
2012/11/13	Tuesday	[15, 17, 21, 33, 35, 48, 39]
2012/11/12	Monday	[11, 29, 33, 39, 43, 46, 45]
2012/11/11	Sunday	[1, 6, 10, 26, 36, 37, 45]
2012/11/10	Saturday	[3, 6, 12, 24, 29, 37, 35]
2012/11/9	Friday	[9, 10, 17, 20, 23, 43, 11]
2012/11/8	Thursday	[7, 21, 27, 34, 39, 42, 46]
2012/11/7	Wednesday	[13, 24, 36, 38, 41, 43, 21]
2012/11/6	Tuesday	[1, 5, 29, 35, 40, 44, 31]
2012/11/5	Monday	[15, 32, 35, 38, 46, 47, 2]
2012/11/4	Sunday	[17, 26, 29, 39, 45, 47, 31]
2012/11/3	Saturday	[9, 17, 26, 34, 37, 45, 6]
2012/11/2	Friday	[12, 19, 39, 43, 47, 49, 5]
2012/11/1	Thursday	[23, 25, 26, 27, 29, 39, 43]
2012/10/31	Wednesday	[16, 22, 25, 29, 31, 33, 37]
2012/10/30	Tuesday	[4, 6, 8, 16, 36, 44, 32]
2012/10/29	Monday	[5, 9, 11, 12, 21, 27, 38]
2012/10/28	Sunday	[10, 22, 33, 43, 45, 47, 1]
2012/10/27	Saturday	[1, 15, 20, 30, 39, 41, 27]
2012/10/26	Friday	[9, 12, 33, 36, 43, 49, 5]
2012/10/25	Thursday	[17, 22, 23, 25, 43, 49, 28]
2012/10/24	Wednesday	[16, 22, 25, 41, 45, 47, 23]
2012/10/23	Tuesday	[2, 22, 26, 36, 37, 48, 24]
2012/10/22	Monday	[7, 15, 26, 37, 42, 48, 1]
2012/10/21	Sunday	[3, 12, 13, 31, 37, 38, 43]
2012/10/20	Saturday	[2, 7, 19, 20, 24, 39, 23]
2012/10/19	Friday	[5, 7, 14, 16, 30, 45, 17]
2012/10/18	Thursday	[8, 26, 29, 39, 44, 46, 34]
2012/10/17	Wednesday	[3, 7, 9, 30, 40, 44, 18]
2012/10/16	Tuesday	[7, 14, 22, 25, 26, 45, 2]
2012/10/15	Monday	[3, 15, 19, 24, 30, 46, 38]
2012/10/14	Sunday	[10, 13, 16, 21, 23, 38, 4]
2012/10/13	Saturday	[1, 13, 17, 21, 40, 43, 47]
2012/10/12	Friday	[1, 25, 27, 37, 46, 49, 39]
2012/10/11	Thursday	[7, 10, 15, 18, 30, 34, 38]
2012/10/10	Wednesday	[15, 34, 44, 47, 48, 49, 24]
2012/10/9	Tuesday	[8, 10, 13, 19, 21, 38, 46]
2012/10/8	Monday	[2, 4, 11, 33, 36, 39, 41]
2012/10/7	Sunday	[9, 15, 22, 28, 35, 38, 39]
2012/10/6	Saturday	[7, 13, 15, 25, 26, 40, 22]
2012/10/5	Friday	[21, 29, 32, 35, 40, 41, 19]
2012/10/4	Thursday	[8, 9, 15, 19, 34, 41, 20]
2012/10/3	Wednesday	[2, 5, 8, 12, 33, 35, 31]
2012/10/2	Tuesday	[11, 12, 15, 41, 47, 49, 6]
2012/10/1	Monday	[15, 16, 26, 32, 42, 48, 7]
2012/9/30	Sunday	[2, 7, 19, 20, 24, 44, 17]
2012/9/29	Saturday	[1, 5, 8, 29, 37, 48, 49]
2012/9/28	Friday	[12, 14, 15, 22, 32, 38, 1]
2012/9/27	Thursday	[7, 16, 24, 34, 43, 47, 45]
2012/9/26	Wednesday	[3, 7, 13, 18, 37, 42, 41]
2012/9/25	Tuesday	[25, 32, 35, 36, 38, 40, 8]
2012/9/24	Monday	[1, 4, 6, 23, 35, 48, 2]
2012/9/23	Sunday	[26, 36, 40, 41, 43, 49, 8]
2012/9/22	Saturday	[2, 6, 10, 13, 31, 38, 43]
2012/9/21	Friday	[4, 17, 20, 29, 38, 43, 21]
