Date	Day	result
2016/12/31	Saturday	[4, 8, 24, 33, 47, 48, 26]
2016/12/30	Friday	[13, 25, 38, 42, 47, 48, 12]
2016/12/29	Thursday	[6, 8, 13, 16, 31, 40, 49]
2016/12/28	Wednesday	[23, 26, 36, 40, 43, 48, 44]
2016/12/27	Tuesday	[10, 20, 23, 26, 35, 46, 24]
2016/12/26	Monday	[2, 5, 14, 18, 32, 48, 1]
2016/12/24	Saturday	[3, 5, 11, 15, 35, 47, 4]
2016/12/23	Friday	[7, 16, 19, 31, 32, 43, 6]
2016/12/22	Thursday	[1, 5, 6, 34, 36, 47, 21]
2016/12/21	Wednesday	[2, 12, 14, 24, 40, 44, 33]
2016/12/20	Tuesday	[15, 21, 33, 35, 43, 48, 36]
2016/12/19	Monday	[2, 17, 20, 30, 44, 45, 32]
2016/12/18	Sunday	[2, 10, 19, 20, 37, 40, 24]
2016/12/17	Saturday	[1, 10, 13, 27, 29, 33, 30]
2016/12/16	Friday	[1, 3, 25, 40, 44, 48, 7]
2016/12/15	Thursday	[2, 25, 27, 30, 35, 49, 20]
2016/12/14	Wednesday	[3, 9, 23, 25, 28, 37, 11]
2016/12/13	Tuesday	[1, 21, 31, 43, 47, 49, 40]
2016/12/12	Monday	[8, 16, 25, 32, 44, 46, 29]
2016/12/11	Sunday	[4, 8, 30, 38, 42, 49, 43]
2016/12/10	Saturday	[10, 14, 16, 25, 36, 40, 26]
2016/12/9	Friday	[4, 20, 37, 38, 46, 49, 16]
2016/12/8	Thursday	[10, 21, 22, 25, 32, 33, 24]
2016/12/7	Wednesday	[20, 23, 27, 30, 37, 46, 12]
2016/12/6	Tuesday	[9, 17, 28, 29, 32, 37, 22]
2016/12/5	Monday	[3, 19, 23, 32, 39, 49, 14]
2016/12/4	Sunday	[5, 22, 25, 26, 35, 36, 1]
2016/12/3	Saturday	[2, 19, 20, 26, 38, 43, 21]
2016/12/2	Friday	[4, 6, 16, 19, 21, 24, 33]
2016/12/1	Thursday	[3, 23, 24, 32, 36, 46, 16]
2016/11/30	Wednesday	[9, 29, 44, 45, 46, 48, 26]
2016/11/29	Tuesday	[9, 11, 25, 38, 39, 40, 33]
2016/11/28	Monday	[8, 9, 14, 25, 26, 33, 34]
2016/11/27	Sunday	[9, 14, 17, 25, 34, 44, 11]
2016/11/26	Saturday	[3, 12, 20, 22, 29, 36, 4]
2016/11/25	Friday	[4, 18, 20, 34, 46, 48, 3]
2016/11/24	Thursday	[11, 32, 42, 43, 44, 49, 46]
2016/11/23	Wednesday	[5, 15, 29, 30, 33, 37, 12]
2016/11/22	Tuesday	[20, 23, 28, 31, 34, 47, 49]
2016/11/21	Monday	[3, 14, 18, 20, 34, 47, 49]
2016/11/20	Sunday	[3, 8, 9, 19, 37, 40, 7]
2016/11/19	Saturday	[13, 16, 21, 24, 36, 46, 28]
2016/11/18	Friday	[11, 20, 23, 24, 33, 49, 30]
2016/11/17	Thursday	[14, 24, 26, 33, 46, 47, 19]
2016/11/16	Wednesday	[6, 25, 27, 30, 41, 49, 10]
2016/11/15	Tuesday	[4, 8, 17, 21, 36, 46, 33]
2016/11/14	Monday	[3, 10, 33, 35, 37, 42, 14]
2016/11/13	Sunday	[4, 11, 19, 21, 26, 39, 22]
2016/11/12	Saturday	[2, 4, 7, 11, 12, 39, 44]
2016/11/11	Friday	[3, 21, 22, 27, 30, 37, 33]
2016/11/10	Thursday	[4, 7, 14, 16, 18, 44, 46]
2016/11/9	Wednesday	[2, 10, 11, 32, 33, 41, 24]
2016/11/8	Tuesday	[5, 21, 33, 36, 38, 47, 10]
2016/11/7	Monday	[4, 28, 33, 38, 39, 41, 43]
2016/11/6	Sunday	[18, 19, 40, 42, 48, 49, 38]
2016/11/5	Saturday	[12, 14, 18, 20, 29, 42, 38]
2016/11/4	Friday	[3, 5, 9, 14, 17, 40, 7]
2016/11/3	Thursday	[4, 11, 19, 22, 34, 38, 48]
2016/11/2	Wednesday	[5, 10, 24, 28, 36, 39, 47]
2016/11/1	Tuesday	[2, 5, 6, 42, 44, 45, 9]
2016/10/31	Monday	[8, 16, 17, 24, 35, 42, 18]
2016/10/30	Sunday	[16, 29, 34, 35, 44, 48, 6]
2016/10/29	Saturday	[5, 20, 27, 28, 39, 42, 36]
2016/10/28	Friday	[4, 5, 9, 23, 35, 43, 44]
2016/10/27	Thursday	[15, 28, 35, 42, 45, 49, 36]
2016/10/26	Wednesday	[10, 14, 15, 35, 44, 46, 17]
2016/10/25	Tuesday	[1, 12, 13, 17, 30, 46, 38]
2016/10/24	Monday	[1, 7, 11, 19, 22, 47, 35]
2016/10/23	Sunday	[3, 8, 16, 23, 37, 41, 31]
2016/10/22	Saturday	[6, 9, 22, 23, 32, 41, 8]
2016/10/21	Friday	[1, 2, 10, 14, 16, 42, 43]
2016/10/20	Thursday	[12, 13, 14, 30, 35, 46, 9]
2016/10/19	Wednesday	[11, 12, 23, 25, 30, 48, 27]
2016/10/18	Tuesday	[1, 10, 14, 21, 42, 48, 6]
2016/10/17	Monday	[6, 15, 18, 25, 38, 42, 17]
2016/10/16	Sunday	[16, 17, 20, 25, 41, 47, 35]
2016/10/15	Saturday	[8, 16, 20, 28, 42, 43, 4]
2016/10/14	Friday	[5, 11, 18, 21, 28, 46, 47]
2016/10/13	Thursday	[3, 7, 12, 19, 23, 28, 10]
2016/10/12	Wednesday	[29, 34, 35, 38, 42, 49, 4]
2016/10/11	Tuesday	[1, 9, 13, 17, 35, 48, 21]
2016/10/10	Monday	[2, 11, 13, 15, 27, 28, 10]
2016/10/9	Sunday	[4, 11, 22, 27, 46, 47, 20]
2016/10/8	Saturday	[7, 10, 11, 14, 20, 34, 37]
2016/10/7	Friday	[2, 17, 23, 34, 40, 46, 13]
2016/10/6	Thursday	[3, 9, 10, 25, 38, 47, 33]
2016/10/5	Wednesday	[16, 25, 26, 36, 37, 39, 1]
2016/10/4	Tuesday	[14, 21, 35, 40, 44, 49, 31]
2016/10/3	Monday	[3, 17, 24, 34, 45, 49, 18]
2016/10/2	Sunday	[5, 7, 12, 21, 27, 29, 16]
2016/10/1	Saturday	[1, 2, 11, 27, 31, 32, 39]
2016/9/30	Friday	[13, 15, 42, 45, 47, 48, 35]
2016/9/29	Thursday	[16, 26, 29, 33, 41, 43, 17]
2016/9/28	Wednesday	[6, 12, 13, 22, 32, 40, 3]
2016/9/27	Tuesday	[7, 20, 24, 30, 36, 46, 34]
2016/9/26	Monday	[8, 12, 21, 30, 31, 46, 34]
2016/9/25	Sunday	[8, 11, 12, 16, 22, 26, 25]
2016/9/24	Saturday	[9, 17, 19, 23, 42, 43, 18]
2016/9/23	Friday	[4, 6, 8, 39, 45, 46, 44]
2016/9/22	Thursday	[9, 12, 15, 17, 29, 48, 8]
2016/9/21	Wednesday	[7, 11, 24, 35, 39, 48, 31]
2016/9/20	Tuesday	[10, 26, 37, 38, 43, 45, 42]
2016/9/19	Monday	[10, 14, 23, 26, 31, 34, 42]
2016/9/18	Sunday	[3, 30, 36, 41, 43, 44, 48]
2016/9/17	Saturday	[4, 8, 14, 27, 42, 43, 35]
2016/9/16	Friday	[5, 11, 12, 17, 30, 43, 7]
2016/9/15	Thursday	[2, 18, 25, 39, 43, 49, 4]
2016/9/14	Wednesday	[7, 35, 36, 40, 43, 46, 49]
2016/9/13	Tuesday	[16, 18, 22, 27, 33, 38, 4]
2016/9/12	Monday	[16, 33, 34, 35, 40, 41, 25]
2016/9/11	Sunday	[5, 7, 12, 21, 28, 40, 36]
2016/9/10	Saturday	[12, 16, 21, 38, 41, 49, 22]
2016/9/9	Friday	[3, 7, 17, 29, 37, 40, 35]
2016/9/8	Thursday	[27, 29, 35, 44, 47, 49, 12]
2016/9/7	Wednesday	[2, 8, 9, 20, 24, 34, 39]
2016/9/6	Tuesday	[22, 23, 24, 28, 30, 40, 48]
2016/9/5	Monday	[7, 24, 29, 35, 36, 48, 28]
2016/9/4	Sunday	[4, 22, 23, 28, 31, 38, 36]
2016/9/3	Saturday	[1, 5, 16, 19, 28, 43, 7]
2016/9/2	Friday	[22, 23, 26, 33, 35, 45, 2]
2016/9/1	Thursday	[3, 14, 16, 27, 30, 41, 36]
2016/8/31	Wednesday	[11, 12, 25, 38, 42, 46, 26]
2016/8/30	Tuesday	[10, 18, 23, 36, 44, 49, 9]
2016/8/29	Monday	[3, 5, 18, 38, 46, 47, 12]
2016/8/28	Sunday	[5, 11, 15, 26, 44, 47, 22]
2016/8/27	Saturday	[2, 9, 10, 24, 26, 33, 3]
2016/8/26	Friday	[16, 18, 23, 24, 37, 47, 43]
2016/8/25	Thursday	[6, 10, 23, 28, 33, 35, 32]
2016/8/24	Wednesday	[14, 23, 29, 34, 35, 44, 13]
2016/8/23	Tuesday	[6, 22, 24, 41, 42, 43, 44]
2016/8/22	Monday	[9, 12, 24, 34, 39, 42, 14]
2016/8/21	Sunday	[11, 13, 18, 20, 29, 49, 16]
2016/8/20	Saturday	[3, 13, 19, 21, 38, 42, 28]
2016/8/19	Friday	[9, 17, 19, 28, 43, 45, 5]
2016/8/18	Thursday	[8, 23, 27, 33, 44, 47, 48]
2016/8/17	Wednesday	[14, 21, 28, 34, 36, 47, 22]
2016/8/16	Tuesday	[8, 14, 38, 41, 44, 47, 20]
2016/8/15	Monday	[2, 4, 22, 25, 28, 47, 46]
2016/8/14	Sunday	[13, 17, 23, 27, 33, 40, 20]
2016/8/13	Saturday	[7, 15, 22, 30, 33, 46, 8]
2016/8/12	Friday	[9, 14, 27, 28, 34, 47, 20]
2016/8/11	Thursday	[3, 26, 36, 45, 48, 49, 16]
2016/8/10	Wednesday	[19, 29, 43, 45, 46, 48, 33]
2016/8/9	Tuesday	[9, 15, 18, 19, 20, 22, 13]
2016/8/8	Monday	[23, 27, 31, 40, 46, 47, 1]
2016/8/7	Sunday	[11, 17, 21, 22, 45, 47, 34]
2016/8/6	Saturday	[2, 6, 20, 21, 22, 40, 5]
2016/8/5	Friday	[6, 11, 12, 25, 30, 45, 34]
2016/8/4	Thursday	[2, 16, 20, 26, 37, 48, 36]
2016/8/3	Wednesday	[1, 18, 29, 36, 41, 48, 44]
2016/8/2	Tuesday	[2, 3, 11, 17, 27, 49, 6]
2016/8/1	Monday	[13, 21, 30, 38, 40, 46, 22]
2016/7/31	Sunday	[1, 23, 32, 35, 42, 45, 37]
2016/7/30	Saturday	[7, 19, 22, 23, 31, 48, 10]
2016/7/29	Friday	[5, 6, 11, 16, 36, 47, 12]
2016/7/28	Thursday	[4, 5, 17, 19, 39, 46, 7]
2016/7/27	Wednesday	[2, 7, 9, 31, 33, 46, 3]
2016/7/26	Tuesday	[22, 28, 35, 36, 37, 39, 41]
2016/7/25	Monday	[18, 25, 31, 38, 42, 48, 41]
2016/7/24	Sunday	[2, 6, 34, 42, 43, 47, 28]
2016/7/23	Saturday	[15, 16, 35, 39, 41, 43, 36]
2016/7/22	Friday	[3, 10, 21, 36, 37, 40, 49]
2016/7/21	Thursday	[1, 18, 22, 26, 34, 36, 45]
2016/7/20	Wednesday	[1, 11, 26, 27, 42, 44, 17]
2016/7/19	Tuesday	[8, 9, 14, 21, 34, 44, 23]
2016/7/18	Monday	[10, 12, 17, 21, 23, 34, 27]
2016/7/17	Sunday	[12, 14, 29, 31, 32, 33, 40]
2016/7/16	Saturday	[5, 11, 16, 24, 46, 49, 6]
2016/7/15	Friday	[5, 13, 18, 27, 35, 43, 30]
2016/7/14	Thursday	[3, 4, 27, 41, 43, 44, 23]
2016/7/13	Wednesday	[10, 19, 23, 25, 32, 38, 46]
2016/7/12	Tuesday	[9, 25, 26, 27, 34, 45, 21]
2016/7/11	Monday	[10, 21, 22, 23, 34, 42, 28]
2016/7/10	Sunday	[3, 11, 14, 18, 43, 49, 20]
2016/7/9	Saturday	[1, 2, 3, 14, 19, 25, 38]
2016/7/8	Friday	[9, 17, 25, 32, 34, 37, 19]
2016/7/7	Thursday	[8, 10, 19, 22, 34, 45, 39]
2016/7/6	Wednesday	[4, 12, 17, 38, 40, 44, 43]
2016/7/5	Tuesday	[11, 16, 36, 41, 44, 47, 31]
2016/7/4	Monday	[14, 16, 26, 29, 36, 47, 42]
2016/7/3	Sunday	[15, 16, 18, 34, 36, 40, 47]
2016/7/2	Saturday	[25, 27, 28, 33, 34, 45, 36]
2016/7/1	Friday	[10, 19, 20, 24, 35, 45, 38]
2016/6/30	Thursday	[2, 8, 11, 26, 30, 32, 36]
2016/6/29	Wednesday	[16, 19, 28, 39, 43, 46, 6]
2016/6/28	Tuesday	[2, 12, 13, 26, 37, 38, 43]
2016/6/27	Monday	[11, 14, 15, 19, 35, 46, 25]
2016/6/26	Sunday	[6, 19, 26, 37, 39, 45, 47]
2016/6/25	Saturday	[15, 16, 27, 32, 33, 38, 37]
