Date	Day	result
2001/12/31	Monday	[4, 7, 8, 16, 27, 35, 24]
2001/12/30	Sunday	[5, 8, 12, 13, 18, 34, 39]
2001/12/29	Saturday	[1, 8, 11, 14, 22, 38, 15]
2001/12/28	Friday	[21, 26, 27, 39, 43, 48, 16]
2001/12/27	Thursday	[4, 6, 8, 11, 25, 29, 12]
2001/12/26	Wednesday	[10, 17, 21, 23, 28, 33, 40]
2001/12/23	Sunday	[25, 29, 37, 41, 44, 45, 2]
2001/12/5	Wednesday	[1, 6, 15, 17, 20, 35, 16]
2001/12/4	Tuesday	[4, 7, 9, 15, 39, 48, 25]
2001/12/3	Monday	[24, 25, 37, 43, 45, 47, 34]
2001/12/2	Sunday	[5, 10, 15, 18, 27, 40, 45]
2001/12/1	Saturday	[8, 16, 21, 27, 39, 45, 49]
2001/11/30	Friday	[7, 15, 17, 30, 34, 48, 45]
2001/11/29	Thursday	[1, 9, 20, 22, 35, 49, 34]
2001/11/28	Wednesday	[8, 34, 37, 38, 42, 47, 35]
2001/11/27	Tuesday	[1, 21, 30, 34, 35, 47, 16]
2001/11/26	Monday	[1, 13, 14, 15, 19, 49, 46]
2001/11/25	Sunday	[12, 19, 21, 33, 35, 47, 40]
2001/11/24	Saturday	[2, 6, 12, 19, 40, 42, 32]
2001/11/23	Friday	[5, 8, 19, 24, 25, 46, 41]
2001/11/22	Thursday	[2, 3, 5, 39, 41, 45, 32]
2001/11/21	Wednesday	[10, 19, 36, 38, 39, 41, 42]
2001/11/20	Tuesday	[21, 23, 37, 38, 40, 44, 14]
2001/11/19	Monday	[16, 18, 23, 29, 37, 45, 4]
2001/11/18	Sunday	[1, 7, 25, 26, 30, 38, 18]
2001/11/17	Saturday	[5, 17, 33, 36, 38, 48, 30]
2001/11/16	Friday	[5, 7, 16, 19, 38, 47, 15]
2001/11/15	Thursday	[5, 10, 12, 16, 21, 23, 30]
2001/11/14	Wednesday	[14, 17, 19, 22, 36, 46, 10]
2001/11/13	Tuesday	[1, 11, 19, 26, 38, 47, 23]
2001/11/12	Monday	[2, 6, 10, 14, 15, 24, 18]
2001/11/11	Sunday	[25, 30, 33, 42, 43, 45, 37]
2001/11/10	Saturday	[3, 24, 25, 27, 32, 49, 36]
2001/11/9	Friday	[6, 7, 16, 24, 37, 43, 41]
2001/11/8	Thursday	[13, 18, 23, 29, 32, 40, 5]
2001/11/7	Wednesday	[9, 17, 30, 44, 46, 48, 12]
2001/11/6	Tuesday	[12, 18, 34, 39, 47, 49, 10]
2001/11/5	Monday	[3, 6, 9, 31, 37, 41, 36]
2001/11/4	Sunday	[1, 9, 17, 25, 33, 37, 27]
2001/11/3	Saturday	[2, 23, 41, 42, 45, 45, 7]
2001/11/2	Friday	[1, 6, 26, 33, 38, 40, 11]
2001/11/1	Thursday	[22, 31, 34, 36, 42, 45, 49]
2001/10/31	Wednesday	[9, 16, 29, 32, 42, 46, 25]
2001/10/30	Tuesday	[3, 21, 23, 29, 37, 46, 27]
2001/10/29	Monday	[5, 7, 12, 15, 24, 48, 49]
2001/10/28	Sunday	[5, 6, 24, 29, 46, 49, 13]
2001/10/27	Saturday	[4, 13, 16, 17, 19, 45, 1]
2001/10/26	Friday	[2, 5, 12, 17, 25, 45, 9]
2001/10/25	Thursday	[1, 26, 28, 31, 35, 41, 20]
2001/10/24	Wednesday	[5, 8, 10, 28, 47, 48, 32]
2001/10/23	Tuesday	[6, 12, 18, 34, 39, 49, 5]
2001/10/22	Monday	[5, 7, 21, 34, 38, 39, 18]
2001/10/21	Sunday	[11, 14, 26, 31, 33, 35, 44]
2001/10/20	Saturday	[2, 15, 18, 34, 35, 46, 44]
2001/10/19	Friday	[7, 19, 38, 44, 45, 47, 10]
2001/10/18	Thursday	[4, 5, 13, 23, 25, 30, 24]
2001/10/17	Wednesday	[12, 14, 22, 27, 32, 49, 5]
2001/10/16	Tuesday	[30, 31, 36, 39, 40, 46, 18]
2001/10/15	Monday	[2, 4, 31, 38, 41, 43, 42]
2001/10/14	Sunday	[9, 10, 14, 32, 33, 39, 49]
2001/10/13	Saturday	[11, 25, 33, 39, 44, 45, 36]
2001/10/12	Friday	[14, 27, 32, 35, 44, 49, 36]
2001/10/11	Thursday	[2, 19, 29, 30, 43, 47, 15]
2001/10/10	Wednesday	[4, 26, 36, 37, 45, 49, 12]
2001/10/9	Tuesday	[9, 13, 28, 37, 46, 49, 42]
2001/10/8	Monday	[2, 14, 24, 43, 47, 48, 17]
2001/10/7	Sunday	[4, 11, 12, 13, 38, 43, 31]
2001/10/6	Saturday	[2, 3, 14, 15, 21, 41, 46]
2001/10/5	Friday	[8, 10, 11, 17, 40, 48, 27]
2001/10/4	Thursday	[2, 7, 10, 21, 36, 49, 25]
2001/10/3	Wednesday	[8, 13, 25, 36, 44, 48, 22]
2001/10/2	Tuesday	[2, 17, 20, 24, 34, 36, 8]
2001/10/1	Monday	[7, 14, 17, 28, 31, 32, 40]
2001/9/30	Sunday	[7, 21, 23, 24, 32, 36, 19]
2001/9/29	Saturday	[2, 4, 28, 34, 37, 49, 40]
2001/9/28	Friday	[19, 24, 27, 28, 36, 37, 1]
2001/9/27	Thursday	[14, 16, 26, 30, 37, 38, 11]
2001/9/26	Wednesday	[4, 9, 18, 24, 25, 33, 46]
2001/9/25	Tuesday	[2, 17, 28, 29, 30, 49, 46]
2001/9/24	Monday	[3, 19, 25, 43, 46, 49, 21]
2001/9/23	Sunday	[3, 9, 29, 30, 35, 42, 1]
2001/9/22	Saturday	[1, 3, 21, 36, 38, 40, 5]
2001/9/21	Friday	[3, 10, 21, 24, 45, 49, 43]
2001/9/20	Thursday	[20, 37, 39, 40, 47, 49, 36]
2001/9/19	Wednesday	[1, 6, 20, 29, 38, 45, 33]
2001/9/18	Tuesday	[6, 8, 21, 27, 34, 40, 30]
2001/9/17	Monday	[4, 18, 23, 24, 34, 39, 33]
2001/9/16	Sunday	[15, 21, 23, 34, 36, 48, 49]
2001/9/15	Saturday	[1, 9, 11, 14, 46, 48, 3]
2001/9/14	Friday	[4, 13, 18, 20, 35, 42, 16]
2001/9/13	Thursday	[20, 21, 24, 28, 35, 38, 45]
2001/9/12	Wednesday	[4, 21, 30, 31, 43, 46, 34]
2001/9/11	Tuesday	[8, 21, 25, 26, 40, 42, 20]
2001/9/10	Monday	[4, 11, 16, 18, 26, 43, 49]
2001/9/9	Sunday	[13, 15, 16, 33, 34, 47, 29]
2001/9/8	Saturday	[12, 14, 16, 23, 30, 40, 7]
2001/9/7	Friday	[4, 5, 6, 15, 17, 42, 37]
