Date	Day	result
2017/12/31	Sunday	[14, 26, 27, 29, 47, 48, 11]
2017/12/30	Saturday	[5, 7, 10, 19, 25, 26, 14]
2017/12/29	Friday	[7, 8, 19, 28, 46, 47, 43]
2017/12/28	Thursday	[2, 4, 8, 21, 38, 49, 11]
2017/12/27	Wednesday	[1, 7, 22, 30, 42, 47, 38]
2017/12/26	Tuesday	[11, 15, 22, 26, 34, 39, 42]
2017/12/24	Sunday	[4, 11, 13, 22, 33, 47, 17]
2017/12/23	Saturday	[1, 2, 10, 14, 17, 33, 37]
2017/12/22	Friday	[1, 29, 34, 43, 45, 48, 46]
2017/12/21	Thursday	[2, 12, 17, 20, 33, 34, 39]
2017/12/20	Wednesday	[9, 14, 22, 43, 47, 49, 44]
2017/12/19	Tuesday	[13, 16, 20, 24, 28, 41, 22]
2017/12/18	Monday	[1, 5, 8, 13, 23, 29, 35]
2017/12/17	Sunday	[14, 30, 32, 42, 46, 49, 22]
2017/12/16	Saturday	[18, 20, 21, 25, 28, 33, 8]
2017/12/15	Friday	[2, 4, 16, 26, 28, 49, 8]
2017/12/14	Thursday	[5, 10, 34, 38, 42, 46, 17]
2017/12/13	Wednesday	[19, 20, 27, 30, 36, 48, 29]
2017/12/12	Tuesday	[5, 33, 34, 37, 42, 43, 44]
2017/12/11	Monday	[2, 6, 7, 20, 25, 31, 49]
2017/12/10	Sunday	[7, 13, 17, 26, 34, 47, 3]
2017/12/9	Saturday	[8, 15, 28, 33, 35, 43, 44]
2017/12/8	Friday	[2, 4, 10, 27, 33, 34, 46]
2017/12/7	Thursday	[27, 30, 31, 34, 38, 49, 7]
2017/12/6	Wednesday	[8, 17, 26, 29, 43, 48, 32]
2017/12/5	Tuesday	[5, 15, 21, 25, 41, 44, 8]
2017/12/4	Monday	[1, 9, 15, 35, 43, 48, 34]
2017/12/3	Sunday	[3, 4, 11, 12, 23, 28, 17]
2017/12/2	Saturday	[1, 15, 18, 38, 44, 48, 46]
2017/12/1	Friday	[12, 26, 31, 33, 48, 49, 7]
2017/11/30	Thursday	[4, 5, 28, 31, 33, 37, 30]
2017/11/29	Wednesday	[18, 24, 25, 36, 44, 47, 7]
2017/11/28	Tuesday	[8, 9, 20, 28, 35, 39, 15]
2017/11/27	Monday	[14, 18, 19, 21, 30, 36, 24]
2017/11/26	Sunday	[26, 30, 31, 36, 43, 48, 47]
2017/11/25	Saturday	[9, 18, 37, 41, 45, 48, 28]
2017/11/24	Friday	[7, 11, 12, 18, 33, 49, 40]
2017/11/23	Thursday	[6, 16, 27, 28, 40, 47, 14]
2017/11/22	Wednesday	[7, 19, 26, 27, 35, 39, 36]
2017/11/21	Tuesday	[19, 22, 24, 31, 39, 44, 20]
