Date	Day	result
2013/12/31	Tuesday	[7, 19, 29, 30, 32, 36, 45]
2013/12/30	Monday	[15, 24, 27, 32, 42, 46, 17]
2013/12/29	Sunday	[8, 17, 40, 43, 47, 48, 7]
2013/12/28	Saturday	[2, 8, 13, 24, 35, 43, 1]
2013/12/27	Friday	[4, 20, 32, 34, 35, 39, 38]
2013/12/26	Thursday	[6, 9, 36, 40, 42, 43, 18]
2013/12/24	Tuesday	[4, 5, 12, 19, 37, 41, 47]
2013/12/23	Monday	[9, 10, 21, 25, 28, 48, 13]
2013/12/22	Sunday	[2, 3, 10, 17, 21, 44, 16]
2013/12/21	Saturday	[6, 9, 14, 21, 28, 36, 19]
2013/12/20	Friday	[6, 7, 15, 30, 41, 43, 45]
2013/12/19	Thursday	[22, 27, 28, 39, 41, 47, 8]
2013/12/18	Wednesday	[8, 28, 32, 34, 40, 46, 37]
2013/12/17	Tuesday	[9, 11, 15, 33, 39, 44, 35]
2013/12/16	Monday	[18, 24, 33, 37, 38, 41, 13]
2013/12/15	Sunday	[5, 21, 27, 28, 30, 47, 17]
2013/12/14	Saturday	[6, 11, 20, 30, 34, 41, 21]
2013/12/13	Friday	[14, 18, 19, 21, 33, 35, 45]
2013/12/12	Thursday	[1, 10, 12, 22, 31, 37, 40]
2013/12/11	Wednesday	[1, 5, 26, 28, 31, 38, 41]
2013/12/10	Tuesday	[1, 12, 31, 35, 44, 49, 15]
2013/12/9	Monday	[3, 5, 9, 15, 16, 35, 7]
2013/12/8	Sunday	[5, 13, 18, 27, 33, 40, 19]
2013/12/7	Saturday	[2, 4, 26, 33, 37, 42, 35]
2013/12/6	Friday	[7, 8, 25, 26, 41, 47, 40]
2013/12/5	Thursday	[3, 17, 24, 34, 38, 42, 46]
2013/12/4	Wednesday	[3, 14, 22, 37, 42, 45, 5]
2013/12/3	Tuesday	[5, 7, 11, 13, 32, 41, 3]
2013/12/2	Monday	[6, 13, 14, 22, 31, 45, 27]
2013/12/1	Sunday	[2, 5, 15, 22, 33, 49, 7]
2013/11/30	Saturday	[10, 23, 25, 37, 43, 46, 36]
2013/11/29	Friday	[1, 26, 30, 32, 40, 41, 16]
2013/11/28	Thursday	[3, 5, 34, 40, 41, 43, 36]
2013/11/27	Wednesday	[1, 13, 16, 17, 28, 35, 38]
2013/11/26	Tuesday	[13, 15, 20, 37, 38, 47, 33]
2013/11/25	Monday	[9, 13, 34, 38, 46, 47, 16]
2013/11/24	Sunday	[3, 4, 13, 16, 37, 44, 9]
2013/11/23	Saturday	[20, 24, 30, 34, 47, 49, 40]
2013/11/22	Friday	[14, 16, 21, 27, 42, 43, 45]
2013/11/21	Thursday	[2, 21, 31, 35, 43, 49, 9]
2013/11/20	Wednesday	[21, 22, 24, 29, 38, 40, 12]
2013/11/19	Tuesday	[8, 14, 16, 32, 34, 37, 18]
2013/11/18	Monday	[9, 14, 18, 31, 34, 39, 19]
2013/11/17	Sunday	[18, 20, 29, 30, 37, 48, 6]
2013/11/16	Saturday	[11, 24, 28, 30, 31, 47, 43]
2013/11/15	Friday	[3, 20, 22, 27, 41, 44, 36]
2013/11/14	Thursday	[2, 4, 11, 17, 35, 39, 3]
2013/11/13	Wednesday	[4, 14, 18, 19, 25, 35, 13]
2013/11/12	Tuesday	[9, 10, 12, 21, 36, 37, 24]
2013/11/11	Monday	[6, 15, 22, 26, 27, 33, 23]
2013/11/10	Sunday	[3, 6, 19, 30, 42, 43, 31]
2013/11/9	Saturday	[4, 11, 14, 15, 32, 37, 36]
2013/11/8	Friday	[10, 15, 20, 36, 39, 45, 49]
2013/11/7	Thursday	[1, 2, 22, 36, 43, 45, 8]
2013/11/6	Wednesday	[2, 3, 5, 8, 23, 26, 27]
2013/11/5	Tuesday	[6, 8, 19, 39, 46, 48, 16]
2013/11/4	Monday	[20, 22, 25, 27, 30, 45, 3]
2013/11/3	Sunday	[7, 20, 30, 34, 36, 44, 43]
2013/11/2	Saturday	[12, 19, 22, 38, 43, 47, 30]
2013/11/1	Friday	[5, 6, 10, 17, 24, 29, 49]
2013/10/31	Thursday	[4, 5, 9, 12, 26, 37, 39]
2013/10/30	Wednesday	[2, 23, 24, 31, 38, 47, 20]
2013/10/29	Tuesday	[5, 12, 14, 20, 22, 44, 31]
2013/10/28	Monday	[2, 13, 19, 27, 34, 43, 44]
2013/10/27	Sunday	[1, 2, 4, 16, 23, 25, 22]
2013/10/26	Saturday	[9, 12, 13, 33, 39, 44, 10]
2013/10/25	Friday	[8, 9, 14, 16, 19, 27, 6]
2013/10/24	Thursday	[18, 23, 35, 36, 38, 43, 30]
2013/10/23	Wednesday	[1, 2, 11, 36, 46, 47, 37]
2013/10/22	Tuesday	[13, 18, 28, 34, 45, 49, 24]
2013/10/21	Monday	[5, 6, 9, 16, 21, 22, 24]
2013/10/20	Sunday	[12, 20, 34, 37, 39, 42, 7]
2013/10/19	Saturday	[1, 12, 25, 30, 34, 35, 47]
2013/10/18	Friday	[3, 20, 22, 23, 40, 43, 36]
2013/10/17	Thursday	[3, 9, 21, 36, 39, 44, 4]
2013/10/16	Wednesday	[5, 10, 16, 20, 41, 47, 2]
2013/10/15	Tuesday	[8, 16, 17, 21, 38, 40, 28]
2013/10/14	Monday	[17, 21, 25, 30, 33, 38, 18]
2013/10/13	Sunday	[8, 11, 21, 35, 40, 44, 9]
2013/10/12	Saturday	[10, 24, 26, 27, 34, 42, 1]
2013/10/11	Friday	[3, 14, 16, 19, 37, 48, 36]
2013/10/10	Thursday	[23, 28, 35, 38, 40, 48, 10]
2013/10/9	Wednesday	[2, 8, 18, 31, 32, 43, 19]
2013/10/8	Tuesday	[8, 10, 14, 18, 38, 42, 20]
2013/10/7	Monday	[23, 25, 26, 35, 40, 41, 27]
2013/10/6	Sunday	[19, 30, 33, 41, 46, 47, 23]
2013/10/5	Saturday	[11, 21, 29, 43, 46, 49, 27]
2013/10/4	Friday	[15, 19, 36, 38, 40, 45, 3]
2013/10/3	Thursday	[8, 11, 25, 39, 42, 44, 14]
2013/10/2	Wednesday	[9, 26, 40, 42, 43, 44, 47]
2013/10/1	Tuesday	[4, 9, 16, 17, 18, 28, 32]
