Date	Day	result
1998/12/31	Thursday	[5, 7, 14, 15, 16, 35]
1998/12/30	Wednesday	[6, 7, 13, 17, 36, 38]
1998/12/29	Tuesday	[15, 17, 26, 36, 37, 46]
1998/12/28	Monday	[1, 25, 33, 36, 39, 46]
1998/12/26	Saturday	[10, 12, 26, 29, 41, 47]
1998/12/22	Tuesday	[2, 34, 36, 37, 42, 48]
1998/12/21	Monday	[5, 18, 28, 32, 39, 43]
1998/12/19	Saturday	[15, 16, 22, 33, 41, 46]
1998/12/18	Friday	[1, 2, 19, 24, 43, 47]
1998/12/17	Thursday	[1, 12, 23, 30, 41, 46]
1998/12/16	Wednesday	[16, 21, 28, 30, 44, 45]
1998/12/15	Tuesday	[18, 29, 31, 32, 38, 43]
1998/12/14	Monday	[12, 20, 27, 33, 37, 42]
1998/12/12	Saturday	[5, 7, 11, 18, 33, 41]
1998/12/11	Friday	[3, 15, 39, 40, 48, 49]
1998/12/10	Thursday	[2, 23, 26, 34, 35, 47]
1998/12/9	Wednesday	[4, 6, 27, 34, 40, 45]
1998/12/8	Tuesday	[2, 3, 25, 29, 38, 47]
1998/12/7	Monday	[8, 14, 29, 33, 36, 44]
1998/12/5	Saturday	[1, 8, 14, 20, 22, 43]
1998/12/4	Friday	[7, 12, 20, 34, 37, 44]
1998/12/3	Thursday	[9, 20, 33, 38, 40, 49]
1998/12/2	Wednesday	[18, 19, 20, 38, 42, 44]
1998/12/1	Tuesday	[1, 7, 15, 33, 41, 48]
1998/11/30	Monday	[13, 15, 17, 28, 41, 44]
1998/11/28	Saturday	[14, 20, 27, 37, 39, 46]
1998/11/27	Friday	[1, 3, 17, 35, 39, 44]
1998/11/26	Thursday	[1, 17, 18, 19, 21, 29]
1998/11/25	Wednesday	[4, 7, 8, 25, 31, 34]
1998/11/24	Tuesday	[18, 20, 24, 40, 42, 47]
1998/11/23	Monday	[14, 28, 29, 35, 44, 47]
1998/11/21	Saturday	[3, 6, 9, 27, 37, 45]
1998/11/20	Friday	[5, 16, 32, 35, 42, 48]
1998/11/19	Thursday	[4, 13, 15, 30, 33, 47]
1998/11/18	Wednesday	[12, 16, 21, 27, 31, 34]
1998/11/17	Tuesday	[5, 6, 12, 34, 36, 49]
1998/11/16	Monday	[2, 12, 18, 27, 30, 37]
1998/11/15	Sunday	[18, 26, 40, 44, 45, 47]
1998/11/14	Saturday	[3, 4, 7, 26, 34, 38]
1998/11/13	Friday	[2, 7, 8, 20, 31, 44]
1998/11/12	Thursday	[1, 5, 39, 42, 43, 45]
1998/11/11	Wednesday	[6, 10, 13, 14, 37, 48]
1998/11/10	Tuesday	[3, 4, 10, 25, 33, 42]
1998/11/9	Monday	[10, 11, 13, 20, 23, 27]
1998/11/7	Saturday	[3, 5, 8, 22, 35, 47]
1998/11/6	Friday	[8, 23, 26, 38, 41, 42]
1998/11/5	Thursday	[4, 25, 38, 40, 44, 47]
1998/11/4	Wednesday	[2, 4, 19, 28, 30, 45]
1998/11/3	Tuesday	[10, 11, 28, 29, 32, 41]
1998/11/2	Monday	[3, 10, 19, 37, 39, 44]
1998/10/31	Saturday	[7, 16, 25, 42, 45, 49]
1998/10/30	Friday	[2, 9, 12, 38, 42, 44]
1998/10/29	Thursday	[15, 18, 20, 24, 34, 43]
1998/10/28	Wednesday	[2, 4, 10, 15, 16, 25]
1998/10/27	Tuesday	[6, 9, 12, 22, 24, 37]
