Date	Day	result
2007/12/31	Monday	[6, 7, 9, 10, 18, 49, 2]
2007/12/30	Sunday	[8, 12, 33, 35, 39, 43, 47]
2007/12/29	Saturday	[4, 11, 13, 20, 28, 46, 47]
2007/12/28	Friday	[4, 7, 12, 19, 20, 48, 40]
2007/12/27	Thursday	[1, 10, 23, 28, 38, 39, 3]
2007/12/26	Wednesday	[5, 12, 13, 14, 26, 35, 41]
2007/12/23	Sunday	[7, 24, 31, 33, 39, 45, 11]
2007/12/22	Saturday	[3, 4, 9, 12, 24, 45, 10]
2007/12/21	Friday	[9, 15, 26, 40, 41, 45, 34]
2007/12/20	Thursday	[7, 14, 19, 22, 33, 36, 43]
2007/12/19	Wednesday	[3, 17, 23, 29, 40, 42, 45]
2007/12/18	Tuesday	[9, 12, 14, 26, 33, 41, 45]
2007/12/17	Monday	[2, 7, 17, 21, 31, 36, 39]
2007/12/16	Sunday	[1, 13, 16, 27, 29, 41, 38]
2007/12/15	Saturday	[20, 22, 28, 30, 33, 36, 39]
2007/12/14	Friday	[23, 25, 28, 44, 46, 49, 2]
2007/12/13	Thursday	[3, 26, 31, 33, 43, 49, 32]
2007/12/12	Wednesday	[6, 23, 24, 25, 30, 37, 43]
2007/12/11	Tuesday	[7, 21, 24, 34, 37, 44, 30]
2007/12/10	Monday	[3, 13, 15, 21, 35, 44, 4]
2007/12/9	Sunday	[24, 26, 31, 38, 39, 46, 49]
2007/12/8	Saturday	[1, 25, 29, 38, 47, 48, 2]
2007/12/7	Friday	[2, 21, 22, 30, 38, 46, 20]
2007/12/6	Thursday	[1, 2, 24, 37, 43, 44, 41]
2007/12/5	Wednesday	[19, 22, 30, 31, 43, 45, 4]
2007/12/4	Tuesday	[4, 10, 15, 20, 22, 25, 36]
2007/12/3	Monday	[11, 14, 31, 39, 41, 44, 36]
2007/12/2	Sunday	[15, 17, 25, 32, 34, 40, 27]
2007/12/1	Saturday	[20, 23, 24, 25, 30, 48, 39]
2007/11/30	Friday	[7, 8, 10, 15, 27, 35, 6]
2007/11/29	Thursday	[10, 14, 15, 24, 40, 41, 34]
2007/11/28	Wednesday	[7, 13, 20, 37, 45, 48, 22]
2007/11/27	Tuesday	[6, 14, 15, 25, 35, 37, 22]
2007/11/26	Monday	[3, 16, 22, 30, 39, 47, 31]
2007/11/25	Sunday	[2, 4, 7, 19, 38, 41, 25]
2007/11/24	Saturday	[4, 5, 16, 24, 26, 46, 10]
2007/11/23	Friday	[1, 8, 10, 20, 26, 31, 48]
2007/11/22	Thursday	[7, 28, 34, 36, 43, 49, 19]
2007/11/21	Wednesday	[4, 6, 7, 25, 27, 48, 22]
2007/11/20	Tuesday	[3, 26, 29, 30, 32, 41, 33]
2007/11/19	Monday	[1, 8, 27, 37, 48, 49, 36]
2007/11/18	Sunday	[3, 5, 21, 28, 31, 36, 26]
2007/11/17	Saturday	[3, 16, 22, 23, 33, 46, 34]
2007/11/16	Friday	[10, 13, 16, 19, 28, 46, 29]
2007/11/15	Thursday	[4, 22, 31, 41, 43, 44, 10]
2007/11/14	Wednesday	[14, 16, 22, 24, 38, 40, 13]
2007/11/13	Tuesday	[18, 28, 30, 34, 42, 44, 20]
2007/11/12	Monday	[3, 8, 11, 26, 30, 38, 13]
2007/11/11	Sunday	[1, 11, 18, 19, 41, 48, 21]
2007/11/10	Saturday	[10, 11, 19, 32, 40, 45, 17]
2007/11/9	Friday	[2, 12, 20, 22, 24, 33, 9]
2007/11/8	Thursday	[6, 10, 11, 24, 28, 32, 48]
2007/11/7	Wednesday	[3, 9, 11, 25, 38, 48, 39]
2007/11/6	Tuesday	[6, 10, 16, 22, 39, 41, 8]
2007/11/5	Monday	[8, 12, 14, 25, 28, 44, 31]
2007/11/4	Sunday	[2, 12, 20, 23, 30, 33, 38]
2007/11/3	Saturday	[1, 13, 22, 24, 36, 46, 12]
2007/11/2	Friday	[18, 31, 35, 40, 46, 48, 5]
2007/11/1	Thursday	[3, 5, 19, 34, 44, 49, 27]
2007/10/31	Wednesday	[4, 5, 30, 35, 36, 48, 24]
2007/10/30	Tuesday	[5, 7, 9, 16, 24, 43, 39]
2007/10/29	Monday	[19, 25, 31, 39, 42, 47, 3]
2007/10/28	Sunday	[5, 9, 11, 20, 31, 33, 2]
2007/10/27	Saturday	[10, 18, 29, 34, 42, 43, 5]
2007/10/26	Friday	[13, 16, 18, 19, 31, 36, 6]
2007/10/25	Thursday	[14, 24, 31, 37, 46, 48, 1]
2007/10/24	Wednesday	[4, 21, 22, 26, 33, 46, 3]
2007/10/23	Tuesday	[6, 9, 10, 23, 29, 49, 31]
2007/10/22	Monday	[7, 27, 31, 39, 47, 49, 43]
2007/10/21	Sunday	[14, 26, 34, 38, 39, 46, 20]
2007/10/20	Saturday	[6, 8, 14, 17, 37, 44, 13]
2007/10/19	Friday	[1, 19, 20, 33, 38, 42, 28]
2007/10/18	Thursday	[5, 9, 18, 21, 41, 48, 13]
2007/10/17	Wednesday	[2, 7, 14, 25, 28, 37, 44]
2007/10/16	Tuesday	[9, 10, 13, 20, 28, 40, 18]
2007/10/15	Monday	[4, 8, 14, 16, 39, 40, 31]
2007/10/14	Sunday	[1, 14, 26, 33, 42, 44, 21]
2007/10/13	Saturday	[4, 6, 16, 28, 30, 37, 49]
2007/10/12	Friday	[7, 13, 14, 24, 27, 40, 48]
2007/10/11	Thursday	[8, 9, 23, 27, 32, 35, 45]
2007/10/10	Wednesday	[10, 11, 13, 21, 37, 40, 26]
2007/10/9	Tuesday	[9, 10, 15, 26, 32, 49, 43]
2007/10/8	Monday	[9, 22, 35, 41, 43, 45, 8]
2007/10/7	Sunday	[4, 9, 12, 22, 28, 49, 19]
2007/10/6	Saturday	[10, 12, 26, 28, 33, 44, 8]
2007/10/5	Friday	[7, 36, 41, 42, 44, 45, 46]
2007/10/4	Thursday	[20, 29, 35, 36, 37, 42, 34]
2007/10/3	Wednesday	[6, 22, 24, 27, 29, 40, 43]
2007/10/2	Tuesday	[4, 13, 15, 18, 29, 43, 36]
2007/10/1	Monday	[7, 16, 30, 42, 43, 44, 46]
2007/9/30	Sunday	[17, 22, 27, 30, 39, 41, 23]
2007/9/28	Friday	[4, 9, 10, 26, 39, 42, 5]
2007/9/27	Thursday	[4, 10, 15, 20, 23, 38, 24]
2007/9/26	Wednesday	[9, 14, 16, 20, 33, 35, 15]
2007/9/25	Tuesday	[1, 12, 18, 27, 44, 49, 15]
2007/9/24	Monday	[7, 9, 21, 29, 32, 33, 34]
2007/9/23	Sunday	[10, 12, 13, 17, 27, 47, 26]
2007/9/22	Saturday	[8, 9, 12, 20, 28, 38, 24]
2007/9/21	Friday	[1, 11, 21, 35, 41, 44, 19]
2007/9/20	Thursday	[4, 10, 17, 33, 35, 40, 13]
2007/9/19	Wednesday	[4, 7, 15, 24, 33, 44, 20]
2007/9/18	Tuesday	[2, 10, 12, 25, 43, 44, 40]
2007/9/17	Monday	[11, 19, 29, 38, 42, 49, 47]
2007/9/16	Sunday	[9, 12, 14, 17, 29, 32, 6]
2007/9/15	Saturday	[1, 11, 18, 20, 35, 46, 14]
2007/9/14	Friday	[3, 13, 15, 24, 33, 49, 23]
2007/9/13	Thursday	[5, 13, 16, 17, 40, 46, 2]
2007/9/12	Wednesday	[5, 6, 14, 26, 30, 37, 32]
2007/9/11	Tuesday	[19, 22, 24, 28, 29, 49, 2]
2007/9/10	Monday	[13, 25, 28, 31, 35, 41, 37]
2007/9/9	Sunday	[2, 10, 19, 26, 29, 30, 5]
2007/9/8	Saturday	[1, 2, 14, 26, 35, 44, 9]
2007/9/7	Friday	[15, 24, 25, 32, 40, 47, 39]
2007/9/6	Thursday	[3, 21, 30, 32, 47, 48, 14]
2007/9/5	Wednesday	[3, 18, 23, 28, 32, 43, 13]
2007/9/4	Tuesday	[5, 10, 12, 33, 37, 46, 1]
2007/9/3	Monday	[7, 14, 20, 25, 30, 38, 13]
2007/9/2	Sunday	[5, 13, 20, 36, 40, 46, 8]
2007/9/1	Saturday	[3, 4, 11, 17, 25, 31, 24]
2007/8/31	Friday	[7, 8, 18, 19, 22, 26, 6]
2007/8/30	Thursday	[16, 20, 24, 27, 30, 31, 47]
2007/8/29	Wednesday	[4, 11, 20, 31, 32, 34, 23]
2007/8/28	Tuesday	[3, 10, 20, 33, 38, 47, 8]
2007/8/27	Monday	[2, 3, 11, 23, 42, 44, 45]
2007/8/26	Sunday	[5, 7, 23, 24, 26, 40, 34]
2007/8/25	Saturday	[12, 15, 20, 36, 37, 49, 8]
2007/8/24	Friday	[4, 14, 26, 34, 36, 42, 9]
2007/8/23	Thursday	[5, 16, 19, 30, 32, 38, 31]
2007/8/22	Wednesday	[6, 16, 22, 33, 42, 47, 5]
2007/8/21	Tuesday	[16, 31, 33, 40, 42, 49, 11]
2007/8/20	Monday	[16, 24, 26, 28, 37, 43, 10]
2007/8/19	Sunday	[13, 17, 20, 24, 25, 34, 12]
2007/8/18	Saturday	[7, 10, 16, 33, 34, 47, 27]
2007/8/17	Friday	[12, 17, 18, 28, 41, 47, 10]
2007/8/16	Thursday	[8, 15, 16, 34, 42, 48, 28]
2007/8/15	Wednesday	[10, 17, 26, 28, 31, 44, 14]
2007/8/14	Tuesday	[16, 24, 34, 35, 39, 44, 48]
2007/8/13	Monday	[13, 22, 29, 33, 45, 49, 43]
2007/8/12	Sunday	[2, 17, 29, 38, 44, 46, 48]
2007/8/11	Saturday	[1, 20, 27, 31, 44, 48, 43]
2007/8/10	Friday	[2, 3, 25, 28, 37, 46, 21]
2007/8/9	Thursday	[1, 21, 22, 28, 37, 43, 31]
2007/8/8	Wednesday	[10, 15, 20, 33, 36, 45, 13]
2007/8/7	Tuesday	[14, 27, 29, 30, 32, 46, 3]
2007/8/6	Monday	[28, 30, 33, 41, 43, 45, 27]
2007/8/5	Sunday	[9, 11, 13, 28, 36, 42, 34]
2007/8/4	Saturday	[4, 24, 30, 40, 43, 49, 19]
2007/8/3	Friday	[10, 15, 18, 21, 23, 27, 47]
2007/8/2	Thursday	[1, 4, 10, 17, 38, 47, 6]
2007/8/1	Wednesday	[7, 8, 22, 27, 30, 42, 9]
2007/7/31	Tuesday	[14, 21, 26, 28, 39, 46, 12]
2007/7/30	Monday	[12, 13, 27, 30, 31, 45, 24]
2007/7/29	Sunday	[1, 3, 20, 22, 29, 40, 36]
2007/7/28	Saturday	[7, 23, 25, 29, 33, 48, 24]
2007/7/27	Friday	[25, 28, 36, 40, 42, 49, 1]
2007/7/26	Thursday	[16, 20, 23, 28, 33, 48, 3]
2007/7/25	Wednesday	[13, 16, 18, 25, 39, 45, 21]
2007/7/24	Tuesday	[2, 13, 28, 34, 35, 45, 3]
2007/7/23	Monday	[18, 19, 22, 30, 33, 36, 35]
2007/7/22	Sunday	[5, 14, 20, 23, 26, 34, 48]
2007/7/21	Saturday	[11, 23, 24, 30, 38, 47, 44]
2007/7/20	Friday	[10, 13, 15, 18, 41, 48, 32]
2007/7/19	Thursday	[12, 15, 16, 38, 39, 44, 33]
2007/7/18	Wednesday	[10, 19, 21, 32, 39, 44, 11]
2007/7/17	Tuesday	[7, 20, 29, 34, 47, 49, 9]
2007/7/16	Monday	[7, 18, 21, 31, 32, 40, 15]
2007/7/15	Sunday	[12, 19, 20, 23, 39, 44, 21]
2007/7/14	Saturday	[3, 4, 16, 23, 33, 39, 27]
2007/7/13	Friday	[3, 5, 16, 26, 28, 35, 47]
2007/7/12	Thursday	[1, 17, 22, 30, 32, 41, 21]
2007/7/11	Wednesday	[3, 24, 31, 35, 40, 46, 25]
2007/7/10	Tuesday	[12, 14, 15, 34, 42, 45, 38]
2007/7/9	Monday	[14, 21, 31, 33, 34, 46, 19]
2007/7/8	Sunday	[6, 15, 26, 40, 43, 46, 38]
2007/7/7	Saturday	[1, 25, 27, 33, 39, 49, 22]
2007/7/6	Friday	[14, 18, 25, 38, 41, 46, 9]
2007/7/5	Thursday	[17, 21, 32, 33, 42, 44, 3]
2007/7/4	Wednesday	[8, 23, 32, 34, 39, 43, 49]
2007/7/3	Tuesday	[6, 13, 18, 24, 39, 45, 46]
2007/7/2	Monday	[12, 18, 21, 25, 42, 48, 32]
2007/7/1	Sunday	[1, 10, 11, 27, 33, 43, 45]
2007/6/30	Saturday	[2, 11, 16, 21, 33, 49, 30]
2007/6/29	Friday	[13, 18, 25, 34, 38, 41, 9]
2007/6/28	Thursday	[2, 8, 15, 17, 39, 49, 14]
2007/6/27	Wednesday	[21, 22, 29, 35, 36, 41, 23]
2007/6/26	Tuesday	[11, 14, 26, 34, 35, 46, 20]
2007/6/25	Monday	[12, 13, 20, 39, 46, 47, 18]
2007/6/24	Sunday	[1, 2, 10, 16, 34, 38, 5]
2007/6/23	Saturday	[7, 11, 26, 31, 46, 49, 25]
2007/6/22	Friday	[18, 21, 29, 43, 45, 48, 3]
2007/6/21	Thursday	[14, 31, 33, 34, 43, 49, 2]
2007/6/20	Wednesday	[20, 28, 31, 39, 44, 48, 40]
2007/6/19	Tuesday	[10, 17, 23, 36, 39, 43, 31]
2007/6/18	Monday	[5, 14, 15, 21, 37, 46, 28]
2007/6/17	Sunday	[13, 20, 21, 32, 33, 44, 39]
2007/6/16	Saturday	[1, 4, 24, 30, 36, 41, 10]
2007/6/15	Friday	[1, 8, 13, 28, 32, 34, 40]
2007/6/14	Thursday	[14, 15, 19, 21, 39, 41, 46]
2007/6/13	Wednesday	[4, 14, 27, 44, 47, 49, 5]
2007/6/12	Tuesday	[4, 9, 32, 45, 47, 49, 18]
2007/6/11	Monday	[13, 15, 21, 22, 27, 31, 7]
2007/6/10	Sunday	[19, 21, 22, 34, 43, 46, 4]
2007/6/9	Saturday	[3, 21, 26, 42, 43, 44, 6]
2007/6/8	Friday	[2, 7, 12, 28, 46, 48, 20]
2007/6/7	Thursday	[9, 16, 19, 20, 21, 26, 3]
2007/6/6	Wednesday	[2, 4, 28, 29, 32, 46, 20]
2007/6/5	Tuesday	[16, 24, 35, 37, 39, 41, 1]
2007/6/4	Monday	[5, 9, 13, 15, 27, 37, 2]
2007/6/3	Sunday	[1, 3, 8, 14, 15, 17, 12]
2007/6/2	Saturday	[1, 4, 19, 28, 33, 43, 15]
2007/6/1	Friday	[21, 30, 32, 36, 42, 48, 20]
2007/5/31	Thursday	[14, 16, 22, 31, 38, 49, 27]
2007/5/30	Wednesday	[5, 6, 28, 32, 35, 49, 13]
2007/5/29	Tuesday	[12, 15, 16, 40, 41, 48, 8]
2007/5/28	Monday	[1, 4, 13, 20, 26, 41, 35]
2007/5/27	Sunday	[16, 19, 31, 41, 42, 47, 18]
2007/5/26	Saturday	[13, 14, 15, 32, 33, 43, 21]
2007/5/25	Friday	[3, 4, 11, 15, 21, 35, 20]
2007/5/24	Thursday	[3, 11, 14, 22, 27, 40, 44]
2007/5/23	Wednesday	[4, 7, 9, 11, 18, 43, 25]
2007/5/22	Tuesday	[3, 5, 9, 22, 27, 48, 35]
2007/5/21	Monday	[13, 14, 21, 29, 32, 41, 3]
2007/5/20	Sunday	[12, 14, 20, 22, 27, 41, 17]
2007/5/19	Saturday	[4, 5, 6, 17, 22, 44, 31]
2007/5/18	Friday	[6, 19, 27, 29, 32, 41, 36]
2007/5/17	Thursday	[12, 13, 18, 24, 37, 49, 47]
2007/5/16	Wednesday	[6, 12, 34, 36, 44, 45, 47]
2007/5/15	Tuesday	[6, 13, 31, 33, 34, 46, 25]
2007/5/14	Monday	[11, 13, 17, 26, 46, 47, 38]
2007/5/13	Sunday	[10, 15, 18, 21, 27, 35, 48]
2007/5/12	Saturday	[3, 4, 18, 30, 34, 37, 13]
2007/5/11	Friday	[5, 6, 24, 33, 35, 38, 27]
2007/5/10	Thursday	[16, 19, 24, 25, 31, 48, 11]
2007/5/9	Wednesday	[6, 27, 28, 30, 35, 41, 15]
2007/5/8	Tuesday	[5, 11, 18, 24, 35, 44, 46]
2007/5/7	Monday	[5, 9, 13, 26, 34, 41, 20]
2007/5/6	Sunday	[7, 18, 22, 36, 48, 49, 28]
2007/5/5	Saturday	[2, 25, 32, 41, 44, 46, 10]
2007/5/4	Friday	[4, 10, 32, 37, 40, 41, 8]
2007/5/3	Thursday	[1, 7, 10, 22, 26, 43, 33]
2007/5/2	Wednesday	[34, 35, 38, 41, 45, 46, 25]
2007/5/1	Tuesday	[7, 22, 24, 26, 33, 44, 31]
2007/4/30	Monday	[1, 8, 17, 19, 30, 47, 39]
2007/4/29	Sunday	[5, 13, 21, 42, 44, 49, 16]
2007/4/28	Saturday	[2, 5, 6, 7, 11, 36, 31]
2007/4/27	Friday	[2, 9, 19, 41, 42, 44, 22]
2007/4/26	Thursday	[1, 6, 7, 10, 11, 30, 40]
2007/4/25	Wednesday	[16, 20, 30, 31, 46, 48, 15]
2007/4/24	Tuesday	[7, 21, 26, 44, 47, 49, 29]
2007/4/23	Monday	[17, 22, 37, 39, 44, 45, 31]
2007/4/22	Sunday	[3, 6, 16, 18, 20, 24, 9]
2007/4/21	Saturday	[6, 14, 26, 27, 45, 49, 28]
