Date	Day	result
2014/12/31	Wednesday	[1, 6, 18, 21, 33, 44, 15]
2014/12/30	Tuesday	[12, 14, 29, 30, 35, 43, 10]
2014/12/29	Monday	[7, 8, 9, 26, 43, 45, 38]
2014/12/28	Sunday	[8, 9, 25, 33, 38, 39, 37]
2014/12/27	Saturday	[11, 19, 20, 30, 33, 49, 34]
2014/12/26	Friday	[2, 9, 15, 28, 31, 44, 5]
2014/12/24	Wednesday	[7, 13, 23, 25, 35, 38, 37]
2014/12/23	Tuesday	[5, 13, 21, 25, 31, 46, 29]
2014/12/22	Monday	[5, 26, 31, 37, 40, 49, 41]
2014/12/21	Sunday	[2, 14, 23, 36, 42, 47, 4]
2014/12/20	Saturday	[5, 16, 26, 30, 35, 42, 31]
2014/12/19	Friday	[3, 10, 28, 33, 44, 49, 25]
2014/12/18	Thursday	[8, 13, 19, 29, 32, 34, 2]
2014/12/17	Wednesday	[3, 7, 13, 26, 32, 49, 21]
2014/12/16	Tuesday	[3, 30, 33, 35, 37, 45, 2]
2014/12/15	Monday	[15, 16, 18, 23, 47, 49, 27]
2014/12/14	Sunday	[3, 8, 9, 12, 31, 38, 42]
2014/12/13	Saturday	[1, 28, 37, 43, 48, 49, 20]
2014/12/12	Friday	[7, 12, 17, 20, 22, 34, 8]
2014/12/11	Thursday	[14, 28, 31, 35, 40, 42, 43]
2014/12/10	Wednesday	[7, 9, 19, 26, 36, 47, 32]
2014/12/9	Tuesday	[7, 9, 13, 19, 42, 49, 35]
2014/12/8	Monday	[8, 10, 25, 35, 40, 44, 14]
2014/12/7	Sunday	[5, 9, 17, 27, 41, 42, 7]
2014/12/6	Saturday	[9, 13, 30, 40, 48, 49, 7]
2014/12/5	Friday	[1, 3, 10, 15, 22, 44, 40]
2014/12/4	Thursday	[3, 4, 8, 9, 23, 35, 41]
2014/12/3	Wednesday	[11, 20, 23, 25, 39, 48, 32]
2014/12/2	Tuesday	[11, 22, 28, 39, 40, 42, 31]
2014/12/1	Monday	[7, 14, 20, 23, 36, 47, 9]
2014/11/30	Sunday	[6, 24, 26, 40, 43, 45, 38]
2014/11/29	Saturday	[6, 17, 18, 23, 38, 39, 14]
2014/11/28	Friday	[7, 13, 24, 27, 38, 45, 37]
2014/11/27	Thursday	[21, 22, 23, 30, 31, 44, 2]
2014/11/26	Wednesday	[2, 20, 21, 43, 44, 48, 41]
2014/11/25	Tuesday	[3, 9, 11, 12, 17, 20, 2]
2014/11/24	Monday	[6, 25, 36, 37, 46, 49, 21]
2014/11/23	Sunday	[11, 12, 20, 23, 34, 46, 15]
2014/11/22	Saturday	[1, 28, 29, 36, 39, 40, 8]
2014/11/21	Friday	[8, 13, 19, 29, 42, 45, 47]
2014/11/20	Thursday	[8, 9, 30, 31, 43, 46, 49]
2014/11/19	Wednesday	[4, 7, 29, 42, 44, 47, 43]
2014/11/18	Tuesday	[1, 9, 18, 22, 28, 31, 34]
2014/11/17	Monday	[6, 15, 19, 24, 34, 37, 33]
2014/11/16	Sunday	[8, 15, 31, 36, 40, 48, 10]
2014/11/15	Saturday	[1, 10, 22, 32, 41, 42, 29]
2014/11/14	Friday	[4, 15, 17, 34, 35, 41, 24]
2014/11/13	Thursday	[5, 12, 29, 30, 42, 48, 25]
