Date	Day	result
2022/2/7	Monday	[7, 13, 19, 38, 43, 47, 26]
2022/2/6	Sunday	[6, 8, 11, 13, 32, 34, 12]
2022/2/5	Saturday	[2, 4, 9, 12, 17, 43, 40]
2022/2/4	Friday	[3, 6, 11, 13, 22, 33, 14]
2022/2/3	Thursday	[10, 11, 12, 18, 25, 43, 8]
2022/2/2	Wednesday	[7, 20, 22, 26, 38, 45, 37]
2022/2/1	Tuesday	[3, 4, 8, 22, 46, 49, 1]
2022/1/31	Monday	[13, 18, 30, 41, 46, 49, 44]
2022/1/30	Sunday	[5, 13, 16, 24, 31, 48, 20]
2022/1/29	Saturday	[1, 22, 23, 25, 28, 35, 29]
2022/1/28	Friday	[4, 20, 22, 24, 41, 44, 31]
2022/1/27	Thursday	[2, 7, 12, 32, 37, 46, 15]
2022/1/26	Wednesday	[1, 6, 10, 17, 22, 44, 45]
2022/1/25	Tuesday	[3, 25, 42, 43, 44, 47, 21]
2022/1/24	Monday	[3, 11, 20, 27, 31, 32, 48]
2022/1/23	Sunday	[1, 4, 14, 18, 21, 29, 2]
2022/1/22	Saturday	[7, 8, 15, 16, 20, 24, 32]
2022/1/21	Friday	[3, 22, 30, 31, 34, 48, 21]
2022/1/20	Thursday	[9, 24, 27, 39, 40, 44, 10]
2022/1/19	Wednesday	[2, 26, 29, 37, 42, 49, 48]
2022/1/18	Tuesday	[2, 7, 15, 18, 25, 35, 1]
2022/1/17	Monday	[4, 5, 14, 16, 25, 35, 1]
2022/1/16	Sunday	[3, 14, 16, 24, 29, 49, 22]
2022/1/15	Saturday	[1, 4, 24, 26, 32, 41, 42]
2022/1/14	Friday	[2, 3, 6, 9, 38, 48, 27]
2022/1/13	Thursday	[2, 13, 25, 30, 44, 46, 47]
2022/1/12	Wednesday	[2, 9, 24, 26, 39, 41, 33]
2022/1/11	Tuesday	[2, 5, 22, 33, 34, 45, 1]
2022/1/10	Monday	[14, 23, 26, 32, 40, 48, 22]
2022/1/9	Sunday	[4, 5, 6, 21, 33, 39, 17]
2022/1/8	Saturday	[13, 19, 24, 27, 31, 39, 16]
2022/1/7	Friday	[5, 7, 17, 28, 30, 37, 15]
2022/1/6	Thursday	[4, 17, 23, 35, 37, 47, 18]
2022/1/5	Wednesday	[11, 16, 28, 31, 36, 49, 4]
2022/1/4	Tuesday	[24, 28, 29, 30, 35, 42, 6]
2022/1/3	Monday	[17, 25, 33, 35, 41, 47, 1]
2022/1/2	Sunday	[5, 20, 29, 30, 44, 49, 3]
2022/1/1	Saturday	[5, 18, 28, 33, 41, 47, 39]
