Date	Day	result
2020/12/31	Thursday	[17, 18, 23, 28, 35, 42, 48]
2020/12/30	Wednesday	[3, 11, 18, 19, 32, 41, 37]
2020/12/29	Tuesday	[7, 15, 22, 37, 42, 45, 25]
2020/12/28	Monday	[9, 18, 31, 34, 35, 43, 20]
2020/12/27	Sunday	[1, 10, 21, 25, 29, 47, 2]
2020/12/26	Saturday	[10, 12, 13, 20, 34, 35, 11]
2020/12/24	Thursday	[2, 6, 20, 23, 30, 31, 43]
2020/12/23	Wednesday	[2, 6, 18, 35, 39, 43, 19]
2020/12/22	Tuesday	[8, 17, 21, 31, 34, 40, 41]
2020/12/21	Monday	[8, 20, 21, 22, 33, 48, 34]
2020/12/20	Sunday	[6, 13, 23, 30, 40, 42, 4]
2020/12/19	Saturday	[4, 8, 17, 45, 46, 48, 9]
2020/12/18	Friday	[15, 17, 20, 29, 34, 46, 2]
2020/12/17	Thursday	[17, 22, 26, 27, 31, 34, 18]
2020/12/16	Wednesday	[4, 10, 13, 25, 27, 33, 30]
2020/12/15	Tuesday	[10, 16, 33, 37, 40, 49, 17]
2020/12/14	Monday	[3, 13, 22, 28, 32, 34, 29]
2020/12/13	Sunday	[4, 24, 29, 39, 43, 44, 15]
2020/12/12	Saturday	[7, 9, 14, 16, 18, 26, 32]
2020/12/11	Friday	[20, 26, 42, 43, 45, 47, 2]
2020/12/10	Thursday	[3, 15, 17, 28, 37, 42, 33]
2020/12/9	Wednesday	[6, 7, 9, 29, 32, 42, 14]
2020/12/8	Tuesday	[16, 25, 28, 35, 42, 45, 47]
2020/12/7	Monday	[2, 4, 13, 39, 44, 47, 20]
2020/12/6	Sunday	[1, 7, 10, 21, 31, 35, 45]
2020/12/5	Saturday	[7, 9, 20, 21, 28, 39, 17]
2020/12/4	Friday	[18, 21, 22, 33, 36, 44, 12]
2020/12/3	Thursday	[1, 6, 13, 16, 18, 19, 24]
2020/12/2	Wednesday	[2, 11, 20, 29, 43, 49, 21]
2020/12/1	Tuesday	[16, 22, 29, 32, 41, 48, 44]
2020/11/30	Monday	[4, 17, 18, 21, 23, 39, 14]
2020/11/29	Sunday	[17, 19, 24, 27, 38, 47, 42]
2020/11/28	Saturday	[22, 24, 35, 36, 39, 40, 1]
2020/11/27	Friday	[17, 18, 19, 23, 34, 43, 15]
2020/11/26	Thursday	[8, 9, 12, 16, 17, 37, 23]
2020/11/25	Wednesday	[2, 7, 29, 39, 46, 49, 13]
2020/11/24	Tuesday	[6, 15, 19, 24, 29, 42, 13]
2020/11/23	Monday	[3, 8, 34, 37, 39, 48, 45]
2020/11/22	Sunday	[9, 14, 22, 28, 33, 36, 39]
2020/11/21	Saturday	[5, 6, 10, 24, 31, 38, 3]
2020/11/20	Friday	[10, 12, 16, 18, 43, 48, 49]
2020/11/19	Thursday	[18, 19, 28, 32, 40, 47, 44]
2020/11/18	Wednesday	[1, 7, 31, 36, 40, 45, 38]
2020/11/17	Tuesday	[4, 9, 13, 28, 45, 48, 30]
2020/11/16	Monday	[4, 13, 16, 26, 32, 47, 21]
2020/11/15	Sunday	[3, 20, 23, 26, 42, 48, 49]
2020/11/14	Saturday	[3, 9, 20, 26, 36, 40, 14]
2020/11/13	Friday	[15, 18, 22, 28, 46, 48, 34]
2020/11/12	Thursday	[4, 5, 12, 28, 33, 39, 44]
2020/11/11	Wednesday	[15, 28, 37, 40, 43, 48, 7]
2020/11/10	Tuesday	[19, 34, 37, 40, 44, 47, 20]
2020/11/9	Monday	[19, 25, 33, 37, 44, 46, 34]
2020/11/8	Sunday	[6, 8, 12, 14, 20, 24, 42]
2020/11/7	Saturday	[1, 4, 18, 31, 38, 44, 33]
2020/11/6	Friday	[2, 11, 15, 20, 46, 48, 41]
2020/11/5	Thursday	[4, 7, 22, 37, 41, 42, 49]
2020/11/4	Wednesday	[25, 30, 35, 41, 42, 47, 28]
2020/11/3	Tuesday	[2, 3, 19, 37, 39, 45, 15]
2020/11/2	Monday	[3, 5, 17, 25, 39, 47, 21]
2020/11/1	Sunday	[14, 24, 29, 38, 41, 48, 10]
2020/10/31	Saturday	[17, 20, 30, 35, 40, 43, 39]
2020/10/30	Friday	[3, 12, 27, 38, 41, 45, 42]
2020/10/29	Thursday	[2, 4, 24, 25, 43, 46, 38]
2020/10/28	Wednesday	[5, 6, 10, 17, 22, 31, 43]
2020/10/27	Tuesday	[8, 11, 17, 23, 29, 35, 30]
2020/10/26	Monday	[1, 3, 17, 25, 39, 41, 23]
2020/10/25	Sunday	[3, 22, 29, 34, 42, 45, 21]
2020/10/24	Saturday	[2, 10, 13, 24, 32, 37, 8]
2020/10/23	Friday	[4, 10, 15, 20, 25, 35, 17]
2020/10/22	Thursday	[2, 29, 31, 38, 39, 41, 1]
2020/10/21	Wednesday	[3, 14, 22, 24, 34, 36, 30]
2020/10/20	Tuesday	[3, 4, 18, 21, 33, 47, 10]
2020/10/19	Monday	[17, 19, 22, 28, 35, 47, 36]
2020/10/18	Sunday	[1, 3, 4, 14, 24, 43, 38]
2020/10/17	Saturday	[3, 9, 18, 25, 26, 36, 28]
2020/10/16	Friday	[8, 12, 24, 26, 38, 45, 20]
2020/10/15	Thursday	[2, 13, 24, 27, 28, 32, 11]
2020/10/14	Wednesday	[4, 13, 16, 19, 32, 38, 39]
2020/10/13	Tuesday	[3, 10, 11, 16, 21, 27, 13]
2020/10/12	Monday	[25, 28, 29, 32, 46, 48, 43]
2020/10/11	Sunday	[1, 4, 14, 24, 32, 45, 36]
2020/10/10	Saturday	[20, 29, 30, 31, 33, 37, 39]
2020/10/9	Friday	[2, 12, 32, 33, 34, 44, 39]
2020/10/8	Thursday	[7, 9, 21, 24, 28, 43, 4]
2020/10/7	Wednesday	[3, 13, 22, 30, 38, 46, 43]
2020/10/6	Tuesday	[12, 21, 32, 34, 40, 46, 20]
2020/10/5	Monday	[3, 16, 20, 21, 26, 28, 4]
2020/10/4	Sunday	[8, 9, 21, 26, 29, 37, 48]
2020/10/3	Saturday	[3, 9, 20, 36, 37, 46, 22]
2020/10/2	Friday	[3, 8, 22, 28, 34, 41, 33]
2020/10/1	Thursday	[5, 9, 15, 19, 42, 46, 36]
2020/9/30	Wednesday	[5, 8, 15, 36, 41, 43, 40]
2020/9/29	Tuesday	[14, 28, 33, 38, 40, 44, 16]
2020/9/28	Monday	[7, 12, 16, 29, 31, 34, 41]
2020/9/27	Sunday	[9, 16, 17, 21, 27, 48, 4]
2020/9/26	Saturday	[19, 22, 27, 39, 46, 49, 14]
2020/9/25	Friday	[17, 20, 21, 24, 30, 31, 3]
2020/9/24	Thursday	[14, 25, 27, 31, 38, 39, 15]
2020/9/23	Wednesday	[9, 18, 25, 30, 31, 38, 10]
2020/9/22	Tuesday	[6, 17, 34, 36, 41, 49, 1]
2020/9/21	Monday	[2, 6, 18, 41, 43, 48, 13]
2020/9/20	Sunday	[1, 9, 11, 13, 16, 32, 40]
2020/9/19	Saturday	[4, 7, 16, 24, 31, 47, 34]
2020/9/18	Friday	[4, 24, 26, 33, 38, 46, 21]
2020/9/17	Thursday	[8, 12, 22, 28, 30, 46, 5]
