Date	Day	result
2013/12/31	Tuesday	[10, 17, 19, 26, 29, 30, 11]
2013/12/30	Monday	[17, 26, 27, 28, 36, 43, 13]
2013/12/29	Sunday	[8, 12, 13, 17, 29, 30, 25]
2013/12/28	Saturday	[10, 18, 27, 34, 37, 41, 45]
2013/12/27	Friday	[7, 15, 20, 21, 27, 45, 37]
2013/12/26	Thursday	[11, 15, 20, 25, 30, 47, 13]
2013/12/24	Tuesday	[12, 24, 25, 33, 38, 49, 32]
2013/12/23	Monday	[3, 13, 17, 33, 37, 47, 1]
2013/12/22	Sunday	[5, 15, 16, 29, 45, 48, 43]
2013/12/21	Saturday	[11, 21, 23, 28, 37, 41, 40]
2013/12/20	Friday	[13, 24, 29, 32, 34, 38, 45]
2013/12/19	Thursday	[8, 10, 17, 18, 37, 41, 34]
2013/12/18	Wednesday	[19, 31, 43, 44, 46, 49, 18]
2013/12/17	Tuesday	[13, 25, 31, 40, 41, 42, 44]
2013/12/16	Monday	[9, 13, 24, 34, 42, 47, 48]
2013/12/15	Sunday	[27, 31, 32, 43, 45, 47, 5]
2013/12/14	Saturday	[15, 23, 29, 35, 47, 48, 8]
2013/12/13	Friday	[33, 35, 36, 38, 46, 48, 1]
2013/12/12	Thursday	[8, 20, 34, 36, 39, 44, 5]
2013/12/11	Wednesday	[1, 16, 26, 28, 31, 34, 40]
2013/12/10	Tuesday	[1, 27, 34, 40, 41, 42, 12]
2013/12/9	Monday	[5, 10, 21, 28, 37, 43, 41]
2013/12/8	Sunday	[11, 12, 23, 40, 43, 48, 16]
2013/12/7	Saturday	[5, 14, 21, 30, 42, 43, 36]
2013/12/6	Friday	[4, 14, 21, 23, 26, 37, 40]
2013/12/5	Thursday	[7, 12, 24, 32, 36, 43, 49]
2013/12/4	Wednesday	[2, 13, 20, 24, 28, 38, 40]
2013/12/3	Tuesday	[2, 23, 26, 29, 31, 47, 6]
2013/12/2	Monday	[5, 7, 15, 23, 33, 38, 12]
2013/12/1	Sunday	[8, 16, 20, 31, 33, 37, 19]
2013/11/30	Saturday	[16, 18, 20, 29, 34, 40, 15]
2013/11/29	Friday	[10, 13, 14, 21, 28, 34, 49]
2013/11/28	Thursday	[1, 32, 36, 42, 43, 48, 47]
2013/11/27	Wednesday	[1, 8, 11, 17, 31, 39, 29]
2013/11/26	Tuesday	[1, 2, 14, 28, 34, 47, 45]
2013/11/25	Monday	[2, 5, 8, 19, 25, 48, 10]
2013/11/24	Sunday	[18, 24, 37, 38, 41, 48, 6]
2013/11/23	Saturday	[5, 7, 21, 27, 36, 49, 48]
2013/11/22	Friday	[1, 6, 13, 16, 29, 34, 45]
2013/11/21	Thursday	[7, 28, 29, 33, 37, 46, 27]
2013/11/20	Wednesday	[2, 3, 14, 17, 21, 33, 26]
2013/11/19	Tuesday	[1, 2, 5, 13, 25, 40, 19]
2013/11/18	Monday	[4, 7, 10, 21, 42, 43, 40]
2013/11/17	Sunday	[10, 21, 22, 33, 41, 49, 2]
2013/11/16	Saturday	[3, 8, 10, 27, 37, 41, 22]
2013/11/15	Friday	[12, 15, 21, 32, 34, 42, 49]
2013/11/14	Thursday	[12, 16, 17, 24, 32, 44, 41]
2013/11/13	Wednesday	[11, 15, 18, 29, 31, 37, 42]
2013/11/12	Tuesday	[11, 13, 20, 27, 44, 49, 16]
2013/11/11	Monday	[4, 10, 14, 17, 24, 42, 39]
2013/11/10	Sunday	[20, 24, 26, 41, 45, 47, 11]
2013/11/9	Saturday	[13, 32, 36, 37, 44, 49, 42]
2013/11/8	Friday	[5, 9, 13, 21, 23, 48, 36]
2013/11/7	Thursday	[3, 7, 21, 23, 27, 39, 15]
2013/11/6	Wednesday	[2, 24, 31, 38, 40, 43, 37]
2013/11/5	Tuesday	[5, 14, 27, 31, 40, 45, 49]
2013/11/4	Monday	[4, 13, 25, 30, 47, 48, 43]
2013/11/3	Sunday	[6, 11, 22, 32, 40, 49, 47]
2013/11/2	Saturday	[16, 18, 21, 32, 38, 45, 9]
2013/11/1	Friday	[36, 38, 42, 44, 46, 47, 15]
2013/10/31	Thursday	[3, 28, 34, 42, 45, 49, 14]
2013/10/30	Wednesday	[1, 16, 21, 22, 33, 37, 23]
2013/10/29	Tuesday	[5, 34, 37, 38, 40, 48, 23]
2013/10/28	Monday	[12, 15, 17, 21, 30, 43, 11]
2013/10/27	Sunday	[9, 18, 29, 30, 37, 45, 49]
2013/10/26	Saturday	[8, 9, 13, 17, 26, 35, 15]
2013/10/25	Friday	[3, 16, 21, 28, 31, 33, 39]
2013/10/24	Thursday	[16, 17, 22, 28, 33, 39, 35]
2013/10/23	Wednesday	[12, 18, 28, 39, 47, 49, 38]
2013/10/22	Tuesday	[5, 12, 16, 17, 21, 25, 30]
2013/10/21	Monday	[10, 11, 24, 28, 31, 32, 36]
2013/10/20	Sunday	[2, 8, 15, 23, 37, 46, 22]
2013/10/19	Saturday	[14, 20, 22, 31, 42, 45, 39]
2013/10/18	Friday	[1, 3, 6, 36, 39, 42, 49]
2013/10/17	Thursday	[13, 19, 30, 32, 43, 44, 25]
2013/10/16	Wednesday	[2, 14, 26, 28, 42, 49, 47]
2013/10/15	Tuesday	[3, 14, 17, 34, 38, 40, 25]
2013/10/14	Monday	[2, 13, 14, 16, 20, 21, 30]
2013/10/13	Sunday	[4, 6, 12, 13, 35, 43, 25]
2013/10/12	Saturday	[7, 15, 24, 26, 31, 47, 2]
2013/10/11	Friday	[8, 20, 27, 37, 39, 43, 32]
2013/10/10	Thursday	[6, 12, 29, 31, 32, 35, 5]
2013/10/9	Wednesday	[11, 17, 28, 33, 47, 48, 43]
2013/10/8	Tuesday	[6, 15, 16, 17, 23, 27, 33]
2013/10/7	Monday	[8, 15, 16, 18, 30, 35, 22]
2013/10/6	Sunday	[7, 10, 17, 18, 23, 35, 46]
2013/10/5	Saturday	[4, 6, 10, 14, 35, 39, 29]
2013/10/4	Friday	[1, 2, 4, 23, 27, 49, 19]
2013/10/3	Thursday	[12, 17, 21, 27, 28, 35, 4]
2013/10/2	Wednesday	[4, 10, 14, 34, 42, 45, 24]
2013/10/1	Tuesday	[3, 11, 15, 30, 32, 47, 28]
2013/9/30	Monday	[5, 10, 15, 17, 29, 35, 46]
2013/9/29	Sunday	[1, 2, 11, 27, 35, 39, 41]
2013/9/28	Saturday	[3, 14, 23, 37, 39, 41, 4]
2013/9/27	Friday	[5, 11, 16, 17, 24, 29, 42]
2013/9/26	Thursday	[3, 26, 27, 38, 44, 49, 47]
2013/9/25	Wednesday	[4, 8, 13, 25, 36, 37, 47]
2013/9/24	Tuesday	[1, 5, 17, 22, 25, 32, 49]
2013/9/23	Monday	[5, 7, 12, 21, 41, 44, 18]
2013/9/22	Sunday	[10, 11, 17, 29, 31, 34, 40]
2013/9/21	Saturday	[6, 7, 45, 47, 48, 49, 22]
2013/9/20	Friday	[3, 4, 10, 31, 37, 43, 35]
2013/9/19	Thursday	[1, 8, 10, 19, 34, 46, 45]
2013/9/18	Wednesday	[11, 25, 36, 40, 44, 47, 34]
2013/9/17	Tuesday	[23, 27, 32, 33, 42, 49, 17]
2013/9/16	Monday	[5, 10, 11, 16, 42, 43, 2]
2013/9/15	Sunday	[10, 11, 13, 17, 35, 48, 39]
2013/9/14	Saturday	[13, 17, 23, 36, 40, 45, 10]
2013/9/13	Friday	[2, 4, 15, 19, 42, 47, 21]
2013/9/12	Thursday	[8, 15, 20, 23, 28, 35, 5]
2013/9/11	Wednesday	[13, 19, 23, 27, 34, 36, 20]
2013/9/10	Tuesday	[5, 8, 26, 27, 37, 44, 25]
2013/9/9	Monday	[3, 6, 25, 37, 42, 46, 30]
2013/9/8	Sunday	[5, 23, 28, 31, 47, 48, 7]
2013/9/7	Saturday	[10, 15, 31, 33, 39, 47, 45]
2013/9/6	Friday	[8, 15, 24, 26, 27, 47, 4]
2013/9/5	Thursday	[7, 16, 22, 39, 41, 48, 43]
2013/9/4	Wednesday	[1, 7, 14, 31, 41, 49, 15]
2013/9/3	Tuesday	[6, 15, 18, 31, 36, 46, 7]
2013/9/2	Monday	[16, 21, 31, 35, 43, 45, 32]
2013/9/1	Sunday	[4, 16, 20, 29, 31, 44, 6]
2013/8/31	Saturday	[20, 21, 25, 31, 33, 38, 22]
2013/8/30	Friday	[1, 18, 32, 36, 41, 45, 35]
2013/8/29	Thursday	[1, 8, 14, 27, 35, 43, 36]
2013/8/28	Wednesday	[3, 9, 22, 25, 27, 35, 42]
2013/8/27	Tuesday	[20, 22, 29, 31, 33, 42, 38]
