Date	Day	result
2019/12/31	Tuesday	[1, 4, 13, 35, 40, 49, 21]
2019/12/30	Monday	[1, 3, 6, 33, 39, 49, 23]
2019/12/29	Sunday	[4, 12, 14, 23, 33, 41, 40]
2019/12/28	Saturday	[19, 24, 26, 42, 44, 45, 13]
2019/12/27	Friday	[1, 7, 28, 34, 42, 47, 36]
2019/12/26	Thursday	[3, 15, 23, 28, 38, 42, 39]
2019/12/24	Tuesday	[1, 11, 25, 26, 38, 40, 39]
2019/12/23	Monday	[1, 11, 34, 41, 45, 46, 36]
2019/12/22	Sunday	[17, 21, 24, 26, 27, 41, 35]
2019/12/21	Saturday	[14, 15, 24, 26, 28, 36, 20]
2019/12/20	Friday	[2, 5, 8, 16, 23, 35, 20]
2019/12/19	Thursday	[14, 21, 29, 30, 34, 36, 18]
2019/12/18	Wednesday	[12, 14, 21, 28, 46, 49, 25]
2019/12/17	Tuesday	[9, 14, 18, 32, 36, 39, 48]
2019/12/16	Monday	[22, 24, 26, 33, 38, 41, 9]
2019/12/15	Sunday	[18, 25, 26, 40, 42, 48, 45]
2019/12/14	Saturday	[19, 27, 28, 31, 34, 46, 33]
2019/12/13	Friday	[3, 12, 35, 39, 43, 47, 36]
2019/12/12	Thursday	[3, 6, 26, 35, 44, 48, 36]
2019/12/11	Wednesday	[6, 8, 24, 31, 33, 39, 49]
2019/12/10	Tuesday	[1, 7, 13, 30, 42, 46, 21]
2019/12/9	Monday	[13, 14, 22, 23, 28, 35, 27]
2019/12/8	Sunday	[1, 7, 24, 29, 37, 41, 49]
2019/12/7	Saturday	[3, 5, 8, 12, 32, 41, 13]
2019/12/6	Friday	[15, 17, 27, 34, 45, 47, 33]
2019/12/5	Thursday	[5, 8, 12, 31, 32, 34, 45]
2019/12/4	Wednesday	[3, 20, 23, 26, 31, 39, 8]
2019/12/3	Tuesday	[9, 12, 24, 27, 34, 48, 16]
2019/12/2	Monday	[26, 29, 38, 40, 45, 47, 48]
2019/12/1	Sunday	[1, 11, 19, 23, 32, 45, 48]
2019/11/30	Saturday	[29, 31, 34, 37, 45, 48, 18]
2019/11/29	Friday	[8, 11, 22, 23, 30, 47, 5]
2019/11/28	Thursday	[13, 25, 39, 40, 41, 49, 43]
2019/11/27	Wednesday	[3, 11, 13, 19, 32, 33, 10]
2019/11/26	Tuesday	[12, 19, 21, 35, 40, 46, 27]
2019/11/25	Monday	[2, 10, 14, 20, 35, 45, 34]
2019/11/24	Sunday	[4, 6, 21, 26, 29, 41, 28]
2019/11/23	Saturday	[16, 18, 27, 33, 34, 39, 23]
2019/11/22	Friday	[10, 22, 24, 26, 35, 37, 39]
2019/11/21	Thursday	[7, 11, 14, 24, 28, 43, 45]
2019/11/20	Wednesday	[20, 21, 23, 27, 46, 49, 17]
2019/11/19	Tuesday	[4, 26, 34, 37, 45, 46, 32]
2019/11/18	Monday	[6, 9, 21, 27, 32, 36, 5]
2019/11/17	Sunday	[17, 19, 33, 40, 45, 49, 23]
2019/11/16	Saturday	[1, 4, 16, 19, 30, 31, 23]
2019/11/15	Friday	[7, 36, 38, 39, 47, 49, 37]
2019/11/14	Thursday	[9, 20, 24, 37, 42, 46, 5]
2019/11/13	Wednesday	[4, 5, 19, 21, 37, 47, 22]
2019/11/12	Tuesday	[9, 35, 38, 42, 43, 44, 5]
2019/11/11	Monday	[1, 25, 30, 34, 36, 39, 15]
2019/11/10	Sunday	[4, 10, 26, 28, 36, 38, 27]
2019/11/9	Saturday	[16, 24, 30, 31, 37, 45, 15]
2019/11/8	Friday	[2, 13, 23, 32, 33, 48, 46]
2019/11/7	Thursday	[6, 11, 24, 25, 40, 49, 4]
2019/11/6	Wednesday	[2, 7, 29, 30, 34, 40, 24]
2019/11/5	Tuesday	[3, 25, 29, 38, 40, 49, 44]
2019/11/4	Monday	[4, 19, 23, 26, 27, 29, 48]
2019/11/3	Sunday	[3, 4, 6, 7, 12, 15, 24]
