Date	Day	result
2001/12/31	Monday	[10, 26, 30, 31, 38, 48, 27]
2001/12/30	Sunday	[1, 10, 24, 33, 36, 38, 7]
2001/12/29	Saturday	[2, 9, 18, 33, 36, 46, 35]
2001/12/28	Friday	[3, 4, 8, 31, 45, 47, 13]
2001/12/27	Thursday	[9, 18, 28, 41, 43, 46, 33]
2001/12/26	Wednesday	[7, 14, 19, 23, 35, 48, 46]
2001/12/23	Sunday	[2, 3, 26, 42, 45, 48, 32]
2001/12/4	Tuesday	[6, 25, 34, 36, 43, 47, 29]
2001/12/3	Monday	[9, 14, 23, 35, 43, 44, 17]
2001/12/2	Sunday	[2, 6, 7, 9, 21, 46, 25]
2001/12/1	Saturday	[19, 30, 32, 38, 45, 46, 16]
2001/11/30	Friday	[6, 20, 24, 43, 46, 47, 38]
2001/11/29	Thursday	[17, 19, 20, 27, 38, 49, 12]
2001/11/28	Wednesday	[11, 22, 23, 35, 37, 45, 36]
2001/11/27	Tuesday	[3, 15, 18, 19, 36, 45, 29]
2001/11/26	Monday	[5, 8, 15, 18, 40, 48, 12]
2001/11/25	Sunday	[3, 14, 24, 27, 28, 35, 16]
2001/11/24	Saturday	[2, 3, 5, 24, 28, 44, 48]
2001/11/23	Friday	[2, 7, 14, 27, 43, 46, 17]
2001/11/22	Thursday	[5, 20, 22, 36, 37, 45, 35]
2001/11/21	Wednesday	[3, 29, 30, 31, 42, 48, 21]
2001/11/20	Tuesday	[6, 7, 11, 35, 37, 46, 20]
2001/11/19	Monday	[10, 17, 30, 36, 43, 47, 23]
2001/11/18	Sunday	[6, 10, 12, 16, 40, 45, 1]
2001/11/17	Saturday	[1, 9, 21, 28, 43, 48, 7]
2001/11/16	Friday	[2, 16, 20, 40, 42, 43, 35]
2001/11/15	Thursday	[4, 9, 14, 17, 26, 38, 29]
2001/11/14	Wednesday	[15, 17, 22, 29, 34, 38, 4]
2001/11/13	Tuesday	[3, 4, 19, 23, 40, 48, 43]
2001/11/12	Monday	[1, 2, 23, 30, 32, 44, 36]
2001/11/11	Sunday	[5, 17, 18, 25, 37, 44, 28]
2001/11/10	Saturday	[7, 15, 20, 23, 30, 39, 37]
2001/11/9	Friday	[23, 30, 31, 34, 44, 46, 41]
2001/11/8	Thursday	[3, 25, 26, 37, 41, 49, 46]
2001/11/7	Wednesday	[4, 10, 16, 24, 28, 38, 17]
2001/11/6	Tuesday	[11, 13, 26, 32, 47, 48, 27]
2001/11/5	Monday	[10, 19, 24, 29, 30, 36, 28]
2001/11/4	Sunday	[13, 26, 30, 37, 38, 45, 25]
2001/11/3	Saturday	[25, 26, 29, 30, 35, 38, 12]
2001/11/2	Friday	[5, 13, 22, 32, 34, 45, 25]
2001/11/1	Thursday	[5, 8, 10, 19, 32, 43, 46]
2001/10/31	Wednesday	[12, 19, 22, 24, 35, 40, 25]
