Date	Day	result
2017/9/28	Thursday	[16, 20, 37, 40, 41, 44, 25]
2017/9/27	Wednesday	[9, 22, 23, 30, 34, 42, 43]
2017/9/26	Tuesday	[4, 14, 25, 29, 36, 45, 44]
2017/9/25	Monday	[1, 10, 16, 18, 39, 44, 33]
2017/9/24	Sunday	[9, 19, 23, 28, 43, 46, 14]
2017/9/23	Saturday	[10, 34, 35, 37, 39, 43, 20]
2017/9/22	Friday	[3, 20, 25, 30, 37, 48, 21]
2017/9/21	Thursday	[6, 18, 25, 27, 46, 47, 2]
2017/9/20	Wednesday	[6, 9, 13, 36, 45, 49, 35]
2017/9/19	Tuesday	[3, 10, 15, 23, 28, 41, 2]
2017/9/18	Monday	[6, 9, 10, 18, 45, 47, 22]
2017/9/17	Sunday	[3, 17, 19, 24, 29, 41, 9]
2017/9/16	Saturday	[2, 4, 16, 38, 42, 45, 1]
2017/9/15	Friday	[2, 9, 12, 35, 42, 48, 6]
2017/9/14	Thursday	[11, 13, 16, 24, 33, 47, 46]
2017/9/13	Wednesday	[2, 3, 30, 31, 36, 43, 47]
2017/9/12	Tuesday	[4, 10, 13, 31, 35, 37, 43]
2017/9/11	Monday	[9, 21, 22, 25, 29, 42, 15]
2017/9/10	Sunday	[6, 11, 19, 20, 24, 49, 14]
2017/9/9	Saturday	[2, 4, 14, 44, 48, 49, 30]
2017/9/8	Friday	[21, 24, 31, 32, 45, 47, 35]
2017/9/7	Thursday	[5, 8, 20, 24, 27, 49, 18]
2017/9/6	Wednesday	[1, 6, 8, 34, 39, 48, 38]
2017/9/5	Tuesday	[2, 4, 18, 26, 34, 49, 46]
2017/9/4	Monday	[16, 22, 23, 27, 34, 44, 1]
2017/9/3	Sunday	[11, 20, 34, 37, 42, 45, 36]
2017/9/2	Saturday	[1, 2, 9, 18, 21, 38, 48]
2017/9/1	Friday	[11, 26, 27, 30, 41, 43, 5]
2017/8/31	Thursday	[3, 4, 14, 28, 37, 41, 22]
2017/8/30	Wednesday	[6, 10, 40, 44, 45, 47, 24]
2017/8/29	Tuesday	[5, 8, 18, 36, 37, 38, 9]
2017/8/28	Monday	[7, 16, 17, 21, 43, 46, 22]
2017/8/27	Sunday	[10, 21, 35, 36, 37, 38, 40]
2017/8/26	Saturday	[6, 16, 32, 37, 38, 39, 30]
2017/8/25	Friday	[4, 8, 16, 17, 30, 31, 6]
2017/8/24	Thursday	[10, 14, 15, 23, 35, 45, 32]
2017/8/23	Wednesday	[2, 10, 16, 20, 25, 33, 32]
2017/8/22	Tuesday	[9, 26, 29, 36, 47, 48, 17]
2017/8/21	Monday	[6, 29, 40, 41, 42, 45, 2]
2017/8/20	Sunday	[2, 8, 10, 19, 25, 38, 33]
2017/8/19	Saturday	[10, 17, 21, 22, 25, 38, 11]
2017/8/18	Friday	[3, 6, 7, 22, 23, 24, 19]
2017/8/17	Thursday	[11, 22, 23, 31, 39, 49, 21]
2017/8/16	Wednesday	[12, 23, 27, 28, 32, 37, 8]
2017/8/15	Tuesday	[5, 11, 38, 40, 44, 47, 49]
2017/8/14	Monday	[16, 21, 25, 35, 40, 44, 30]
2017/8/13	Sunday	[1, 4, 30, 40, 44, 48, 25]
2017/8/12	Saturday	[1, 3, 6, 26, 35, 45, 14]
2017/8/11	Friday	[3, 20, 28, 37, 42, 43, 22]
2017/8/10	Thursday	[5, 11, 26, 41, 43, 45, 24]
2017/8/9	Wednesday	[1, 18, 19, 25, 40, 47, 38]
2017/8/8	Tuesday	[22, 31, 33, 39, 41, 47, 44]
2017/8/7	Monday	[3, 9, 11, 34, 41, 47, 40]
2017/8/6	Sunday	[10, 11, 14, 19, 36, 49, 45]
2017/8/5	Saturday	[7, 21, 25, 30, 42, 47, 23]
2017/8/4	Friday	[9, 17, 18, 25, 40, 43, 8]
2017/8/3	Thursday	[28, 31, 34, 45, 46, 47, 3]
2017/8/2	Wednesday	[17, 25, 34, 37, 38, 42, 18]
2017/8/1	Tuesday	[4, 5, 14, 15, 33, 46, 9]
2017/7/31	Monday	[4, 11, 14, 16, 20, 28, 48]
2017/7/30	Sunday	[3, 10, 31, 35, 37, 41, 15]
2017/7/29	Saturday	[11, 26, 28, 35, 45, 46, 31]
2017/7/28	Friday	[6, 15, 26, 31, 42, 49, 29]
2017/7/27	Thursday	[7, 33, 39, 40, 46, 47, 38]
2017/7/26	Wednesday	[11, 32, 36, 37, 39, 46, 22]
2017/7/25	Tuesday	[10, 15, 24, 31, 32, 46, 23]
2017/7/24	Monday	[12, 22, 37, 39, 44, 47, 49]
2017/7/23	Sunday	[14, 26, 30, 33, 36, 43, 8]
2017/7/22	Saturday	[17, 20, 36, 43, 44, 49, 19]
2017/7/21	Friday	[18, 19, 32, 34, 41, 43, 2]
2017/7/20	Thursday	[9, 12, 37, 38, 40, 49, 8]
2017/7/19	Wednesday	[3, 12, 18, 19, 31, 38, 16]
2017/7/18	Tuesday	[11, 23, 26, 34, 41, 46, 17]
2017/7/17	Monday	[8, 12, 30, 31, 35, 43, 1]
2017/7/16	Sunday	[6, 19, 21, 24, 28, 40, 10]
2017/7/15	Saturday	[4, 14, 20, 26, 32, 49, 18]
2017/7/14	Friday	[3, 15, 19, 29, 36, 47, 14]
2017/7/13	Thursday	[18, 31, 32, 40, 45, 46, 25]
2017/7/12	Wednesday	[10, 13, 33, 42, 44, 45, 8]
2017/7/11	Tuesday	[4, 21, 24, 27, 37, 49, 45]
2017/7/10	Monday	[13, 25, 26, 28, 36, 47, 3]
2017/7/9	Sunday	[2, 3, 12, 31, 44, 48, 20]
2017/7/8	Saturday	[1, 18, 20, 25, 37, 41, 11]
2017/7/7	Friday	[2, 3, 10, 14, 17, 38, 25]
2017/7/6	Thursday	[6, 7, 18, 34, 41, 47, 5]
2017/7/5	Wednesday	[5, 9, 14, 15, 16, 31, 12]
2017/7/4	Tuesday	[14, 20, 27, 37, 41, 48, 9]
2017/7/3	Monday	[11, 12, 20, 30, 42, 47, 41]
2017/7/2	Sunday	[3, 8, 29, 35, 39, 45, 46]
2017/7/1	Saturday	[14, 17, 24, 39, 42, 48, 40]
2017/6/30	Friday	[3, 6, 14, 26, 27, 34, 8]
2017/6/29	Thursday	[15, 24, 25, 38, 44, 46, 5]
2017/6/28	Wednesday	[4, 5, 17, 29, 37, 45, 15]
2017/6/27	Tuesday	[5, 18, 28, 39, 41, 47, 16]
2017/6/26	Monday	[7, 10, 19, 23, 37, 46, 48]
2017/6/25	Sunday	[6, 27, 35, 40, 46, 49, 23]
2017/6/24	Saturday	[5, 19, 24, 30, 37, 45, 9]
2017/6/23	Friday	[4, 12, 16, 19, 21, 43, 39]
2017/6/22	Thursday	[15, 19, 23, 30, 35, 44, 48]
2017/6/21	Wednesday	[10, 12, 13, 30, 37, 41, 44]
2017/6/20	Tuesday	[2, 20, 26, 29, 33, 41, 15]
2017/6/19	Monday	[1, 6, 7, 10, 16, 35, 4]
2017/6/18	Sunday	[1, 3, 12, 29, 31, 48, 18]
2017/6/17	Saturday	[5, 24, 30, 34, 35, 39, 4]
2017/6/16	Friday	[12, 17, 21, 22, 23, 46, 25]
2017/6/15	Thursday	[2, 4, 19, 23, 40, 43, 34]
2017/6/14	Wednesday	[6, 8, 11, 14, 43, 44, 15]
2017/6/13	Tuesday	[4, 7, 14, 30, 41, 43, 45]
2017/6/12	Monday	[18, 27, 28, 30, 32, 37, 9]
2017/6/11	Sunday	[2, 4, 13, 20, 31, 39, 43]
2017/6/10	Saturday	[29, 31, 37, 41, 42, 43, 40]
2017/6/9	Friday	[6, 8, 17, 22, 37, 48, 26]
2017/6/8	Thursday	[10, 12, 15, 16, 35, 37, 18]
2017/6/7	Wednesday	[4, 5, 6, 21, 30, 41, 20]
2017/6/6	Tuesday	[6, 18, 33, 36, 38, 45, 2]
2017/6/5	Monday	[15, 17, 20, 31, 39, 47, 32]
2017/6/4	Sunday	[2, 13, 14, 19, 24, 48, 16]
2017/6/3	Saturday	[2, 7, 10, 27, 33, 36, 30]
2017/6/2	Friday	[4, 6, 9, 29, 34, 47, 31]
2017/6/1	Thursday	[8, 18, 35, 43, 45, 46, 4]
2017/5/31	Wednesday	[2, 7, 9, 18, 22, 24, 16]
2017/5/30	Tuesday	[7, 18, 19, 40, 45, 48, 43]
2017/5/29	Monday	[2, 3, 16, 24, 27, 45, 17]
2017/5/28	Sunday	[2, 5, 12, 20, 25, 29, 35]
2017/5/27	Saturday	[6, 10, 15, 37, 41, 46, 23]
2017/5/26	Friday	[11, 21, 23, 35, 41, 45, 18]
2017/5/25	Thursday	[14, 16, 20, 30, 31, 44, 24]
2017/5/24	Wednesday	[14, 22, 32, 33, 37, 43, 9]
2017/5/23	Tuesday	[8, 19, 22, 34, 42, 45, 16]
2017/5/22	Monday	[2, 11, 22, 24, 25, 26, 20]
2017/5/21	Sunday	[8, 18, 19, 27, 35, 39, 23]
2017/5/20	Saturday	[1, 3, 5, 33, 45, 48, 44]
2017/5/19	Friday	[9, 12, 20, 27, 30, 44, 40]
2017/5/18	Thursday	[11, 15, 34, 41, 44, 46, 1]
2017/5/17	Wednesday	[5, 9, 19, 30, 31, 43, 33]
2017/5/16	Tuesday	[1, 5, 17, 43, 44, 46, 36]
2017/5/15	Monday	[2, 18, 24, 30, 31, 49, 10]
2017/5/14	Sunday	[6, 10, 23, 36, 42, 47, 38]
2017/5/13	Saturday	[7, 11, 14, 24, 27, 47, 5]
2017/5/12	Friday	[1, 2, 30, 40, 45, 46, 38]
2017/5/11	Thursday	[4, 13, 26, 30, 36, 37, 19]
2017/5/10	Wednesday	[1, 12, 17, 21, 41, 46, 40]
2017/5/9	Tuesday	[1, 6, 18, 20, 28, 43, 7]
2017/5/8	Monday	[10, 15, 28, 31, 32, 34, 9]
2017/5/7	Sunday	[1, 8, 11, 15, 24, 44, 17]
2017/5/6	Saturday	[20, 27, 32, 39, 44, 47, 1]
2017/5/5	Friday	[2, 12, 22, 26, 27, 42, 19]
2017/5/4	Thursday	[3, 16, 25, 29, 39, 49, 18]
2017/5/3	Wednesday	[6, 11, 15, 21, 41, 46, 45]
2017/5/2	Tuesday	[16, 17, 18, 25, 42, 48, 11]
2017/5/1	Monday	[18, 32, 33, 45, 47, 49, 37]
2017/4/30	Sunday	[4, 5, 6, 23, 36, 37, 38]
2017/4/29	Saturday	[2, 9, 26, 32, 39, 43, 25]
2017/4/28	Friday	[15, 16, 24, 37, 39, 43, 44]
2017/4/27	Thursday	[1, 19, 21, 25, 43, 49, 46]
2017/4/26	Wednesday	[11, 12, 17, 23, 27, 43, 49]
2017/4/25	Tuesday	[4, 9, 25, 28, 42, 43, 47]
2017/4/24	Monday	[5, 6, 15, 16, 35, 49, 46]
2017/4/23	Sunday	[5, 8, 11, 33, 37, 45, 24]
2017/4/22	Saturday	[3, 13, 26, 33, 35, 40, 39]
2017/4/21	Friday	[3, 20, 26, 31, 45, 46, 6]
2017/4/20	Thursday	[10, 15, 19, 20, 30, 41, 43]
2017/4/19	Wednesday	[3, 11, 15, 23, 27, 45, 48]
2017/4/18	Tuesday	[3, 7, 23, 28, 32, 45, 24]
2017/4/17	Monday	[6, 15, 16, 27, 42, 48, 44]
2017/4/16	Sunday	[2, 3, 11, 12, 20, 26, 4]
2017/4/15	Saturday	[7, 23, 31, 36, 39, 48, 6]
2017/4/14	Friday	[1, 27, 33, 36, 40, 43, 38]
2017/4/13	Thursday	[11, 16, 18, 25, 28, 48, 49]
2017/4/12	Wednesday	[4, 7, 21, 25, 37, 42, 18]
2017/4/11	Tuesday	[4, 9, 30, 35, 47, 49, 34]
2017/4/10	Monday	[19, 20, 30, 31, 39, 41, 27]
2017/4/9	Sunday	[2, 16, 23, 31, 43, 44, 21]
2017/4/8	Saturday	[21, 25, 31, 35, 45, 46, 27]
2017/4/7	Friday	[5, 13, 17, 19, 32, 33, 38]
2017/4/6	Thursday	[17, 19, 23, 25, 29, 44, 9]
2017/4/5	Wednesday	[22, 23, 27, 37, 46, 49, 39]
2017/4/4	Tuesday	[3, 9, 10, 11, 16, 22, 5]
2017/4/3	Monday	[10, 20, 21, 23, 36, 37, 27]
2017/4/2	Sunday	[12, 35, 40, 41, 42, 46, 29]
2017/4/1	Saturday	[18, 21, 22, 32, 48, 49, 9]
2017/3/31	Friday	[5, 7, 13, 30, 47, 49, 19]
2017/3/30	Thursday	[5, 9, 11, 26, 30, 32, 25]
2017/3/29	Wednesday	[3, 25, 26, 34, 39, 44, 6]
2017/3/28	Tuesday	[11, 34, 42, 45, 46, 48, 6]
2017/3/27	Monday	[10, 14, 16, 17, 38, 41, 31]
2017/3/26	Sunday	[2, 3, 6, 16, 21, 37, 31]
2017/3/25	Saturday	[8, 11, 33, 40, 45, 47, 13]
2017/3/24	Friday	[11, 16, 20, 21, 29, 46, 33]
2017/3/23	Thursday	[4, 5, 15, 17, 39, 40, 47]
2017/3/22	Wednesday	[1, 2, 5, 26, 31, 40, 49]
2017/3/21	Tuesday	[18, 24, 32, 33, 39, 42, 28]
2017/3/20	Monday	[3, 10, 24, 25, 37, 39, 43]
2017/3/19	Sunday	[2, 12, 19, 21, 31, 43, 49]
2017/3/18	Saturday	[27, 29, 30, 43, 45, 47, 9]
2017/3/17	Friday	[9, 13, 18, 35, 37, 40, 23]
2017/3/16	Thursday	[5, 11, 12, 25, 45, 48, 34]
2017/3/15	Wednesday	[9, 26, 32, 37, 44, 45, 18]
2017/3/14	Tuesday	[7, 12, 14, 20, 22, 26, 15]
2017/3/13	Monday	[7, 20, 21, 22, 23, 40, 37]
2017/3/12	Sunday	[24, 34, 40, 42, 44, 45, 14]
2017/3/11	Saturday	[1, 14, 28, 41, 46, 47, 24]
2017/3/10	Friday	[4, 5, 11, 24, 34, 38, 10]
2017/3/9	Thursday	[2, 4, 19, 25, 27, 38, 44]
2017/3/8	Wednesday	[6, 11, 13, 15, 20, 38, 40]
2017/3/7	Tuesday	[1, 14, 21, 28, 31, 39, 48]
2017/3/6	Monday	[5, 11, 13, 20, 28, 35, 19]
2017/3/5	Sunday	[3, 10, 13, 41, 44, 46, 39]
2017/3/4	Saturday	[1, 9, 11, 28, 34, 37, 15]
2017/3/3	Friday	[2, 4, 19, 26, 32, 40, 36]
2017/3/2	Thursday	[8, 11, 13, 24, 28, 46, 47]
2017/3/1	Wednesday	[21, 23, 26, 30, 34, 37, 32]
2017/2/28	Tuesday	[4, 14, 22, 32, 42, 49, 15]
2017/2/27	Monday	[3, 6, 10, 29, 32, 42, 38]
2017/2/26	Sunday	[6, 11, 25, 29, 34, 35, 36]
2017/2/25	Saturday	[2, 20, 25, 35, 39, 47, 29]
2017/2/24	Friday	[1, 13, 16, 35, 37, 46, 29]
2017/2/23	Thursday	[1, 12, 20, 22, 40, 41, 13]
2017/2/22	Wednesday	[17, 18, 19, 25, 36, 37, 12]
2017/2/21	Tuesday	[2, 8, 15, 18, 37, 42, 25]
2017/2/20	Monday	[23, 29, 38, 41, 44, 47, 24]
2017/2/19	Sunday	[1, 3, 25, 26, 30, 34, 19]
2017/2/18	Saturday	[4, 16, 36, 39, 40, 41, 47]
2017/2/17	Friday	[5, 9, 10, 21, 35, 48, 29]
2017/2/16	Thursday	[9, 16, 20, 29, 30, 35, 40]
2017/2/15	Wednesday	[8, 21, 24, 30, 36, 45, 28]
2017/2/14	Tuesday	[8, 11, 22, 23, 41, 48, 21]
2017/2/13	Monday	[4, 14, 20, 25, 27, 48, 35]
2017/2/12	Sunday	[1, 15, 23, 29, 33, 35, 3]
2017/2/11	Saturday	[4, 7, 19, 21, 25, 33, 43]
2017/2/10	Friday	[6, 29, 32, 34, 36, 43, 13]
2017/2/9	Thursday	[2, 3, 8, 15, 25, 48, 6]
2017/2/8	Wednesday	[10, 23, 28, 40, 44, 46, 33]
2017/2/7	Tuesday	[1, 16, 33, 39, 42, 48, 17]
2017/2/6	Monday	[23, 31, 32, 36, 41, 46, 26]
2017/2/5	Sunday	[13, 20, 28, 34, 44, 48, 2]
2017/2/4	Saturday	[11, 14, 30, 32, 37, 40, 29]
2017/2/3	Friday	[3, 7, 26, 27, 37, 44, 11]
2017/2/2	Thursday	[10, 13, 20, 27, 29, 43, 18]
2017/2/1	Wednesday	[4, 12, 14, 15, 26, 49, 37]
2017/1/31	Tuesday	[2, 19, 21, 32, 41, 44, 18]
2017/1/30	Monday	[6, 8, 9, 24, 33, 48, 47]
2017/1/29	Sunday	[7, 13, 19, 30, 35, 39, 45]
2017/1/28	Saturday	[5, 12, 25, 30, 35, 47, 22]
2017/1/27	Friday	[3, 24, 27, 40, 43, 45, 26]
2017/1/26	Thursday	[2, 6, 15, 29, 30, 44, 34]
2017/1/25	Wednesday	[2, 22, 24, 40, 45, 48, 14]
2017/1/24	Tuesday	[5, 10, 30, 33, 42, 44, 31]
2017/1/23	Monday	[5, 27, 33, 34, 43, 47, 29]
2017/1/22	Sunday	[14, 17, 22, 29, 39, 41, 49]
2017/1/21	Saturday	[12, 21, 24, 26, 27, 43, 4]
2017/1/20	Friday	[1, 24, 26, 35, 41, 49, 25]
2017/1/19	Thursday	[2, 14, 24, 29, 34, 47, 36]
2017/1/18	Wednesday	[5, 13, 21, 32, 43, 48, 25]
2017/1/17	Tuesday	[5, 14, 19, 26, 31, 39, 42]
2017/1/16	Monday	[4, 6, 27, 33, 45, 47, 44]
2017/1/15	Sunday	[23, 25, 32, 33, 38, 45, 8]
2017/1/14	Saturday	[11, 33, 34, 39, 45, 46, 9]
2017/1/13	Friday	[11, 12, 14, 16, 21, 32, 41]
2017/1/12	Thursday	[4, 7, 9, 10, 31, 46, 36]
2017/1/11	Wednesday	[14, 15, 18, 20, 21, 33, 8]
2017/1/10	Tuesday	[3, 9, 11, 31, 33, 44, 43]
2017/1/9	Monday	[2, 14, 27, 31, 39, 47, 44]
2017/1/8	Sunday	[4, 10, 11, 21, 41, 42, 24]
2017/1/7	Saturday	[7, 18, 20, 24, 32, 40, 19]
2017/1/6	Friday	[1, 2, 15, 26, 32, 49, 7]
2017/1/5	Thursday	[5, 7, 12, 19, 20, 30, 42]
2017/1/4	Wednesday	[7, 19, 20, 36, 39, 44, 37]
2017/1/3	Tuesday	[13, 15, 21, 22, 40, 45, 30]
2017/1/2	Monday	[11, 21, 24, 42, 47, 49, 37]
2017/1/1	Sunday	[1, 9, 13, 15, 27, 41, 33]
