Date	Day	result
2011/12/31	Saturday	[6, 8, 12, 24, 32, 48, 45]
2011/12/30	Friday	[5, 9, 25, 34, 36, 49, 1]
2011/12/29	Thursday	[10, 18, 26, 30, 46, 49, 38]
2011/12/28	Wednesday	[2, 4, 6, 29, 40, 46, 22]
2011/12/27	Tuesday	[2, 4, 12, 19, 24, 36, 9]
2011/12/26	Monday	[5, 14, 30, 33, 41, 43, 9]
2011/12/24	Saturday	[11, 16, 26, 34, 37, 46, 48]
2011/12/23	Friday	[1, 7, 12, 13, 20, 40, 5]
2011/12/22	Thursday	[8, 12, 23, 32, 35, 37, 1]
2011/12/21	Wednesday	[4, 34, 36, 44, 46, 47, 27]
2011/12/20	Tuesday	[6, 7, 9, 11, 35, 45, 17]
2011/12/19	Monday	[15, 21, 24, 28, 37, 47, 42]
2011/12/18	Sunday	[6, 9, 26, 38, 43, 44, 23]
2011/12/17	Saturday	[9, 16, 36, 43, 44, 46, 30]
2011/12/16	Friday	[23, 29, 34, 36, 39, 46, 3]
2011/12/15	Thursday	[9, 18, 24, 29, 34, 37, 38]
2011/12/14	Wednesday	[2, 3, 8, 15, 23, 33, 16]
2011/12/13	Tuesday	[3, 14, 15, 17, 42, 45, 44]
2011/12/12	Monday	[11, 18, 27, 30, 32, 40, 8]
2011/12/11	Sunday	[5, 19, 28, 32, 40, 44, 4]
2011/12/10	Saturday	[1, 24, 25, 26, 27, 31, 6]
2011/12/9	Friday	[6, 11, 16, 25, 29, 43, 28]
2011/12/8	Thursday	[1, 2, 16, 26, 46, 47, 6]
2011/12/7	Wednesday	[4, 29, 30, 34, 44, 49, 13]
2011/12/6	Tuesday	[1, 15, 25, 29, 35, 44, 36]
2011/12/5	Monday	[1, 12, 15, 25, 34, 40, 17]
2011/12/4	Sunday	[6, 8, 10, 25, 35, 39, 33]
2011/12/3	Saturday	[14, 18, 21, 27, 35, 41, 5]
2011/12/2	Friday	[1, 10, 18, 28, 39, 42, 19]
2011/12/1	Thursday	[5, 8, 13, 23, 26, 41, 28]
2011/11/30	Wednesday	[8, 20, 21, 24, 27, 39, 32]
2011/11/29	Tuesday	[3, 5, 16, 27, 40, 42, 20]
2011/11/28	Monday	[3, 5, 9, 19, 24, 27, 30]
2011/11/27	Sunday	[4, 5, 10, 18, 19, 41, 45]
2011/11/26	Saturday	[19, 22, 33, 38, 39, 48, 10]
2011/11/25	Friday	[24, 26, 31, 33, 35, 42, 39]
2011/11/24	Thursday	[16, 19, 35, 36, 37, 41, 13]
2011/11/23	Wednesday	[28, 33, 36, 37, 39, 45, 30]
2011/11/22	Tuesday	[4, 9, 12, 17, 30, 43, 16]
2011/11/21	Monday	[15, 19, 21, 33, 42, 44, 48]
2011/11/20	Sunday	[1, 10, 17, 34, 44, 45, 8]
2011/11/19	Saturday	[18, 21, 22, 24, 37, 46, 33]
2011/11/18	Friday	[4, 7, 37, 42, 44, 49, 14]
2011/11/17	Thursday	[10, 12, 16, 17, 24, 42, 13]
2011/11/16	Wednesday	[10, 12, 17, 29, 30, 37, 31]
2011/11/15	Tuesday	[2, 34, 37, 43, 44, 45, 10]
2011/11/14	Monday	[12, 16, 17, 31, 41, 49, 9]
2011/11/13	Sunday	[3, 16, 25, 29, 41, 42, 14]
2011/11/12	Saturday	[6, 18, 29, 30, 31, 45, 41]
2011/11/11	Friday	[5, 21, 29, 36, 39, 47, 40]
2011/11/10	Thursday	[6, 12, 28, 38, 44, 46, 32]
2011/11/9	Wednesday	[11, 33, 36, 38, 39, 46, 7]
2011/11/8	Tuesday	[16, 24, 26, 33, 39, 47, 35]
2011/11/7	Monday	[8, 32, 37, 38, 42, 45, 33]
2011/11/6	Sunday	[17, 20, 26, 30, 35, 41, 19]
2011/11/5	Saturday	[1, 9, 28, 34, 47, 48, 14]
2011/11/4	Friday	[1, 6, 7, 18, 29, 37, 48]
2011/11/3	Thursday	[5, 7, 20, 28, 30, 35, 48]
2011/11/2	Wednesday	[15, 21, 25, 38, 42, 48, 16]
2011/11/1	Tuesday	[3, 11, 15, 31, 33, 38, 37]
2011/10/31	Monday	[3, 8, 16, 23, 36, 45, 33]
2011/10/30	Sunday	[6, 8, 11, 29, 38, 47, 42]
2011/10/29	Saturday	[3, 13, 27, 31, 34, 47, 33]
2011/10/28	Friday	[5, 12, 15, 18, 32, 44, 40]
2011/10/27	Thursday	[7, 16, 29, 32, 33, 37, 27]
2011/10/26	Wednesday	[7, 8, 10, 19, 23, 32, 6]
2011/10/25	Tuesday	[1, 9, 16, 29, 31, 39, 5]
2011/10/24	Monday	[5, 7, 11, 19, 28, 48, 37]
2011/10/23	Sunday	[5, 14, 17, 26, 43, 47, 41]
2011/10/22	Saturday	[5, 15, 17, 19, 21, 44, 6]
2011/10/21	Friday	[13, 18, 19, 20, 23, 35, 7]
2011/10/20	Thursday	[14, 22, 33, 38, 40, 44, 26]
2011/10/19	Wednesday	[4, 7, 10, 12, 25, 30, 43]
2011/10/18	Tuesday	[9, 21, 25, 26, 31, 43, 10]
2011/10/17	Monday	[1, 6, 10, 15, 17, 42, 18]
2011/10/16	Sunday	[5, 15, 19, 28, 42, 48, 23]
2011/10/15	Saturday	[12, 15, 21, 28, 39, 42, 24]
2011/10/14	Friday	[12, 13, 14, 22, 29, 48, 4]
2011/10/13	Thursday	[1, 3, 13, 26, 33, 43, 7]
2011/10/12	Wednesday	[2, 11, 22, 23, 38, 49, 9]
2011/10/11	Tuesday	[15, 17, 37, 41, 48, 49, 10]
2011/10/10	Monday	[3, 18, 31, 35, 37, 47, 46]
2011/10/9	Sunday	[2, 16, 21, 26, 31, 47, 12]
2011/10/8	Saturday	[2, 5, 10, 17, 35, 43, 19]
2011/10/7	Friday	[6, 8, 27, 36, 41, 47, 39]
2011/10/6	Thursday	[3, 4, 24, 27, 29, 35, 47]
2011/10/5	Wednesday	[22, 23, 36, 43, 46, 48, 44]
2011/10/4	Tuesday	[31, 33, 37, 42, 44, 47, 28]
2011/10/3	Monday	[15, 16, 21, 25, 33, 44, 42]
2011/10/2	Sunday	[12, 20, 21, 28, 46, 48, 33]
2011/10/1	Saturday	[17, 21, 25, 27, 32, 35, 7]
2011/9/30	Friday	[5, 6, 28, 33, 40, 42, 19]
2011/9/29	Thursday	[11, 21, 22, 24, 33, 45, 20]
2011/9/28	Wednesday	[7, 15, 20, 28, 42, 43, 22]
2011/9/27	Tuesday	[2, 26, 28, 34, 35, 38, 39]
2011/9/26	Monday	[2, 3, 24, 25, 27, 45, 33]
2011/9/25	Sunday	[3, 4, 6, 13, 34, 45, 1]
2011/9/24	Saturday	[8, 10, 16, 24, 37, 46, 12]
2011/9/23	Friday	[1, 8, 17, 22, 25, 26, 2]
2011/9/22	Thursday	[6, 17, 20, 30, 33, 40, 23]
2011/9/21	Wednesday	[19, 22, 24, 25, 28, 32, 4]
