Date	Day	result
1997/12/31	Wednesday	[12, 15, 17, 19, 28, 32]
1997/12/30	Tuesday	[3, 21, 22, 27, 28, 33]
1997/12/29	Monday	[9, 16, 18, 22, 34, 42]
1997/12/27	Saturday	[4, 7, 19, 32, 48, 49]
1997/12/26	Friday	[8, 10, 13, 31, 34, 38]
1997/12/22	Monday	[8, 10, 22, 38, 46, 49]
1997/12/20	Saturday	[7, 9, 18, 32, 33, 36]
1997/12/19	Friday	[8, 15, 22, 27, 32, 47]
1997/12/18	Thursday	[4, 10, 11, 15, 30, 47]
1997/12/17	Wednesday	[11, 19, 24, 31, 38, 49]
1997/12/16	Tuesday	[12, 19, 20, 23, 41, 43]
1997/12/15	Monday	[1, 10, 12, 17, 20, 46]
1997/12/13	Saturday	[3, 10, 13, 36, 38, 40]
1997/12/12	Friday	[20, 23, 35, 44, 47, 49]
1997/12/11	Thursday	[14, 17, 21, 26, 29, 40]
1997/12/10	Wednesday	[11, 13, 15, 27, 32, 33]
1997/12/9	Tuesday	[5, 28, 32, 38, 42, 46]
1997/12/8	Monday	[11, 13, 14, 23, 26, 44]
1997/12/6	Saturday	[4, 9, 16, 22, 26, 39]
1997/12/5	Friday	[8, 10, 14, 16, 31, 45]
1997/12/4	Thursday	[6, 8, 11, 13, 20, 36]
1997/12/3	Wednesday	[5, 8, 31, 34, 35, 48]
1997/12/2	Tuesday	[1, 3, 5, 16, 37, 46]
1997/12/1	Monday	[16, 24, 29, 37, 40, 49]
1997/11/29	Saturday	[2, 16, 25, 32, 33, 35]
1997/11/28	Friday	[14, 21, 25, 37, 39, 42]
1997/11/27	Thursday	[3, 14, 21, 33, 43, 46]
1997/11/26	Wednesday	[5, 7, 13, 15, 38, 49]
1997/11/25	Tuesday	[14, 20, 27, 29, 39, 40]
1997/11/24	Monday	[17, 18, 41, 42, 44, 46]
1997/11/22	Saturday	[3, 12, 25, 39, 45, 48]
1997/11/21	Friday	[1, 5, 25, 39, 41, 42]
1997/11/20	Thursday	[3, 12, 13, 27, 28, 48]
1997/11/19	Wednesday	[5, 22, 25, 28, 36, 47]
1997/11/18	Tuesday	[8, 16, 21, 23, 27, 38]
1997/11/17	Monday	[11, 19, 24, 31, 38, 49]
1997/11/16	Sunday	[7, 18, 24, 42, 46, 49]
1997/11/15	Saturday	[3, 17, 19, 34, 35, 48]
1997/11/14	Friday	[8, 23, 28, 38, 44, 48]
1997/11/13	Thursday	[3, 23, 24, 28, 30, 48]
1997/11/12	Wednesday	[1, 2, 18, 25, 45, 46]
1997/11/11	Tuesday	[1, 21, 22, 36, 44, 45]
1997/11/10	Monday	[15, 17, 28, 30, 33, 39]
