Date	Day	result
1999/12/31	Friday	[23, 27, 34, 35, 44, 49]
1999/12/30	Thursday	[1, 7, 38, 40, 41, 43]
1999/12/29	Wednesday	[10, 18, 21, 33, 39, 47]
1999/12/28	Tuesday	[12, 24, 28, 31, 32, 46]
1999/12/27	Monday	[10, 20, 29, 30, 35, 48]
1999/12/22	Wednesday	[9, 17, 22, 27, 29, 43]
1999/12/21	Tuesday	[3, 4, 9, 13, 34, 40]
1999/12/20	Monday	[3, 6, 14, 21, 24, 42]
1999/12/18	Saturday	[10, 26, 31, 35, 37, 38]
1999/12/17	Friday	[3, 6, 7, 11, 15, 37]
1999/12/16	Thursday	[1, 7, 23, 34, 35, 40]
1999/12/15	Wednesday	[20, 21, 27, 41, 42, 43]
1999/12/14	Tuesday	[14, 28, 42, 46, 48, 49]
1999/12/13	Monday	[22, 31, 32, 33, 38, 41]
1999/12/11	Saturday	[17, 37, 38, 42, 46, 47]
1999/12/10	Friday	[7, 12, 17, 21, 42, 49]
1999/12/9	Thursday	[4, 6, 9, 12, 26, 44]
1999/12/8	Wednesday	[2, 7, 15, 16, 35, 41]
1999/12/7	Tuesday	[3, 18, 20, 23, 25, 44]
1999/12/6	Monday	[4, 20, 21, 24, 26, 37]
1999/12/4	Saturday	[16, 18, 20, 28, 29, 47]
1999/12/3	Friday	[7, 12, 15, 16, 21, 27]
1999/12/2	Thursday	[7, 15, 17, 42, 43, 44]
1999/12/1	Wednesday	[8, 11, 18, 27, 45, 49]
1999/11/30	Tuesday	[19, 21, 28, 33, 39, 40]
1999/11/29	Monday	[1, 6, 7, 19, 32, 49]
1999/11/27	Saturday	[15, 16, 30, 33, 34, 35]
1999/11/26	Friday	[5, 15, 29, 40, 42, 44]
1999/11/25	Thursday	[10, 13, 19, 24, 27, 34]
1999/11/24	Wednesday	[9, 10, 18, 24, 25, 41]
1999/11/23	Tuesday	[17, 18, 23, 34, 43, 47]
1999/11/22	Monday	[2, 4, 9, 16, 25, 27]
1999/11/21	Sunday	[6, 12, 13, 19, 22, 36]
1999/11/20	Saturday	[2, 3, 19, 21, 38, 46]
1999/11/19	Friday	[3, 5, 23, 30, 34, 46]
1999/11/18	Thursday	[6, 11, 15, 22, 34, 42]
1999/11/17	Wednesday	[11, 14, 31, 36, 44, 46]
1999/11/16	Tuesday	[4, 11, 20, 28, 38, 44]
1999/11/15	Monday	[2, 14, 17, 29, 37, 41]
1999/11/14	Sunday	[3, 12, 22, 24, 25, 34]
1999/11/13	Saturday	[8, 26, 29, 36, 37, 41]
1999/11/12	Friday	[11, 34, 36, 38, 41, 45]
1999/11/11	Thursday	[15, 16, 20, 39, 41, 46]
1999/11/10	Wednesday	[6, 8, 13, 34, 42, 48]
1999/11/9	Tuesday	[2, 5, 11, 15, 16, 47]
1999/11/8	Monday	[3, 7, 9, 34, 38, 48]
1999/11/6	Saturday	[1, 3, 7, 13, 30, 40]
1999/11/5	Friday	[2, 15, 23, 29, 37, 47]
1999/11/4	Thursday	[2, 3, 20, 37, 46, 48]
1999/11/3	Wednesday	[5, 8, 15, 16, 20, 31]
1999/11/2	Tuesday	[5, 15, 20, 23, 33, 42]
1999/11/1	Monday	[5, 7, 32, 35, 36, 42]
1999/10/30	Saturday	[16, 27, 30, 32, 38, 41]
1999/10/29	Friday	[3, 5, 14, 25, 31, 45]
1999/10/28	Thursday	[4, 12, 18, 28, 30, 40]
1999/10/27	Wednesday	[6, 15, 17, 21, 38, 48]
1999/10/26	Tuesday	[11, 12, 17, 27, 28, 33]
1999/10/25	Monday	[6, 12, 13, 19, 25, 26]
1999/10/23	Saturday	[8, 9, 13, 31, 43, 47]
